Unnamed: 0,Date,Home,Away,Unique_Devices,Starts,Live_Unique_Devices,Live_Starts,VOD_Unique_Devices,VOD_Starts,Life_Play_Time,Season,Attendance,Capacity,Total Full Season Equivalent Non Suite Tickets,Group Non Suite Tickets,Single Game Total Non Suite Tickets,Total Non Suite Tickets,dma_home,dma_away,National_Gm_Num,Network,Start_Time,End_Time,Duration_Mins,National_Rating,Average_Viewers_000,Average_Households_000,GM,DAY,ET,LOCAL,AWAY TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,HOME TV,DUR.1,HH RTG.1,HH SHR.1,HH IMP.1,P2+ IMP.1,NAT TV,CN TV,Num_Secondary_Transactions,Avg_Markup_Over_Full_STM_Price
100.0,2018-04-09,BRK,CHI,3106.0,6511.0,2635.0,5814.0,516.0,697.0,89883.92,2017-18,16187.0,17732.0,9339.0,2888.0,1853.0,14080.0,7.35,3.46,,,,,,,,,1205,Mon,7:30 PM,7:30 PM,NBCSCH,135.0,1.4,2.0,45.0,55.0,YES,135.0,0.2,0,16,17,,,,
101.0,2018-04-09,DEN,POR,25222.0,58199.0,24063.0,56141.0,1353.0,2058.0,1244435.12,2017-18,17467.0,19520.0,7143.0,3115.0,2121.0,12379.0,1.63,1.14,,,,,,,,,1211,Mon,7:00 PM,9:00 PM,NBCSNW,150.0,4.1,8.0,49.0,78.0,ALT,150.0,1.5,3,23,30,,TSN,,
102.0,2018-04-09,DET,TOR,7379.0,13742.0,6602.0,12611.0,850.0,1131.0,187258.42,2017-18,17529.0,20491.0,8646.0,64.0,1288.0,9998.0,1.85,2.86,,,,,,,,,1204,Mon,7:00 PM,7:00 PM,SN1,,,,,,FSD,135.0,0.7,1,13,17,,SN1,5.0,-40.0%
103.0,2018-04-09,LAC,NOP,584.0,821.0,32.0,41.0,553.0,780.0,15135.07,2017-18,15742.0,19068.0,11063.0,2330.0,946.0,14339.0,5.48,0.64,273.0,ESPN,0.953472222,0.034722222,118.0,0.648072132,688.0,562.0,1212,Mon,7:30 PM,10:30 PM,,,,,,,FSPT,150.0,0.3,1,18,17,ESPN,NBAC,7.0,-53.9%
104.0,2018-04-09,MIA,OKC,31581.0,86712.0,29541.0,82493.0,2509.0,4219.0,1297490.24,2017-18,19600.0,19600.0,13268.0,3644.0,1378.0,18290.0,1.7,0.72,,,,,,,,,1206,Mon,7:30 PM,7:30 PM,FSOK,150.0,8.83,13.0,62.2,,FSSUN,150.0,3.3,6,56,70,,,1183.0,62.1%
105.0,2018-04-09,MIL,ORL,4799.0,9078.0,4253.0,8274.0,581.0,804.0,462876.72,2017-18,18717.0,18717.0,8486.0,2123.0,5289.0,15898.0,0.9,1.52,,,,,,,,,1208,Mon,7:00 PM,8:00 PM,FSFL,135.0,0.4,1.0,6.0,9.0,FSWIS,135.0,2,3,18,,,,18.0,-52.5%
106.0,2018-04-09,MIN,MEM,8439.0,18114.0,7703.0,16937.0,832.0,1177.0,246841.72,2017-18,17641.0,18978.0,7933.0,4749.0,573.0,13255.0,1.74,0.63,,,,,,,,,1209,Mon,7:00 PM,8:00 PM,FSSE-MEM,135.0,0.6,1.0,4.0,,FSNTH+,135.0,3.6,6,62,92,,,,
107.0,2018-04-09,NYK,CLE,3447.0,6529.0,154.0,323.0,3293.0,6206.0,164643.31,2017-18,19449.0,19812.0,11676.0,693.0,4720.0,17089.0,7.35,1.5,272.0,NBA TV,0.8125,0.920833333,157.0,0.640948079,380.0,297.0,1207,Mon,7:30 PM,7:30 PM,FSO,135.0,9,14.0,130.0,173.0,MSG,150.0,0.6,1,39,46,NBA TV,,851.0,-42.0%
108.0,2018-04-09,SAS,SAC,14246.0,31611.0,13303.0,29543.0,1228.0,2068.0,534294.37,2017-18,18418.0,18418.0,13324.0,2729.0,740.0,16793.0,0.94,1.38,,,,,,,,,1210,Mon,7:30 PM,8:30 PM,NBCSCA,135.0,1.9,4.0,27.0,34.0,FSSW-SA,150.0,8.5,13,79,,,,666.0,-13.8%
109.0,2018-04-08,BOS,ATL,11494.0,23750.0,9800.0,21094.0,1860.0,2656.0,449964.0,2017-18,18624.0,18624.0,14586.0,1102.0,1531.0,17219.0,2.42,2.41,,,,,,,,,1202,Sun,7:30 PM,7:30 PM,FSSE-ATL,135.0,0.5,1.0,11.0,15.0,NBCSB,135.0,1.5,4,36,48,,,1272.0,72.5%
110.0,2018-04-08,CHA,IND,5595.0,10446.0,4443.0,8778.0,1231.0,1668.0,174970.44,2017-18,16629.0,19077.0,10753.0,1193.0,75.0,12021.0,1.19,1.09,,,,,,,,,1197,Sun,1:00 PM,1:00 PM,FSIND,150.0,2.7,6.0,28.0,,FSSE-CHA,150.0,0.82,1.9,9.3,17,,,143.0,10.9%
111.0,2018-04-08,LAL,UTA,18740.0,40019.0,16677.0,36278.0,2421.0,3741.0,874197.47,2017-18,18997.0,18997.0,14650.0,338.0,1098.0,16086.0,5.48,0.92,,,,,,,,,1201,Sun,3:00 PM,6:00 PM,ATTSN-RM,150.0,7.46,17.0,70.8,,SPECSN/D,150.0,0.8,2,45,54,,,1169.0,3.6%
112.0,2018-04-08,MEM,DET,478.0,595.0,19.0,25.0,459.0,570.0,10005.98,2017-18,16044.0,17794.0,9677.0,3135.0,207.0,13019.0,0.63,1.85,269.0,NBA TV,3:26 PM,5:48 PM,142.0,0.317334833,178.0,147.0,1199,Sun,2:30 PM,3:30 PM,FSD,135.0,0.5,1.0,10.0,11.0,FSSE-MEM,135.0,1.34,2.1,8.6,,NBA TV,NBAC,238.0,-31.1%
113.0,2018-04-08,PHI,DAL,2484.0,3531.0,105.0,158.0,2381.0,3373.0,73258.85,2017-18,20846.0,20478.0,15316.0,2297.0,676.0,18289.0,2.94,2.71,268.0,NBA TV,1:00 PM,3:26 PM,146.0,0.336759071,183.0,156.0,1198,Sun,1:00 PM,1:00 PM,FSSW-DAL,135.0,0.8,2.0,21.0,23.0,NBCSPA,135.0,2.8,6,80,103,NBA TV,NBAC,,
114.0,2018-04-08,PHX,GSW,2457.0,4548.0,169.0,607.0,2288.0,3941.0,113240.96,2017-18,18055.0,18055.0,6577.0,2318.0,3520.0,12415.0,1.89,2.49,271.0,NBA TV,8:59 PM,11:10 PM,131.0,0.729645037,423.0,338.0,1203,Sun,6:00 PM,9:00 PM,NBCSBA,135.0,7.8,17.0,191.0,282.0,FSA,135.0,0.6,1,11,27,NBA TV,SN1,378.0,75.3%
115.0,2018-04-08,TOR,ORL,529.0,710.0,27.0,31.0,502.0,679.0,12520.13,2017-18,19948.0,19800.0,14695.0,1596.0,1957.0,18248.0,2.86,1.52,270.0,NBA TV,5:48 PM,8:14 PM,146.0,0.408236016,244.0,189.0,1200,Sun,6:00 PM,6:00 PM,FSFL,135.0,0.2,0.0,3.0,4.0,SN1,,,,,,NBA TV,SN1,1164.0,69.8%
116.0,2018-04-07,CHI,BRK,2923.0,5623.0,2425.0,4832.0,541.0,791.0,90180.99,2017-18,21669.0,20917.0,9675.0,5543.0,4213.0,19431.0,3.46,7.35,,,,,,,,,1193,Sat,7:00 PM,8:00 PM,YES,135.0,0.2,0.0,12.0,24.0,NBCSCH,135.0,0.9,2,29,41,,,148.0,-31.1%
117.0,2018-04-07,GSW,NOP,25606.0,60852.0,22202.0,54973.0,3810.0,5879.0,1040318.84,2017-18,19596.0,19596.0,14729.0,1849.0,1408.0,17986.0,2.49,0.64,,,,,,,,,1195,Sat,5:30 PM,8:30 PM,FSNO,150.0,1.13,1.9,7.4,,NBCSBA,150.0,6.6,16,161,228,,,2750.0,43.1%
118.0,2018-04-07,HOU,OKC,4904.0,9383.0,192.0,563.0,4714.0,8820.0,231567.01,2017-18,18055.0,18055.0,12131.0,1342.0,2623.0,16096.0,2.45,0.72,267.0,ABC,8:31 PM,11:05 PM,154.0,1.701471308,2680.0,2035.0,1194,Sat,7:30 PM,8:30 PM,,,,,,,,,,,,,ABC,NBAC,110.0,138.1%
119.0,2018-04-07,LAC,DEN,1103.0,1524.0,53.0,88.0,1050.0,1436.0,29235.28,2017-18,16166.0,19068.0,11131.0,3645.0,625.0,15401.0,5.48,1.63,266.0,NBA TV,3:30 PM,6:02 PM,152.0,0.272547863,167.0,126.0,1191,Sat,12:30 PM,3:30 PM,ALT,150.0,0.7,2.0,12.0,13.0,FSPT,150.0,0.2,1,12,11,NBA TV,NBAC,6.0,-44.2%
120.0,2018-04-07,NYK,MIL,8946.0,17009.0,7964.0,15535.0,1082.0,1474.0,334357.25,2017-18,19812.0,19812.0,11391.0,2852.0,3554.0,17797.0,7.35,0.9,,,,,,,,,1192,Sat,7:30 PM,7:30 PM,FSWIS+,150.0,1.41,2.5,12.1,,MSG,135.0,0.5,1,37,41,,,790.0,-70.2%
121.0,2018-04-07,SAS,POR,17348.0,36444.0,15308.0,32572.0,2375.0,3872.0,609718.51,2017-18,18610.0,18418.0,12824.0,2932.0,1093.0,16849.0,0.94,1.14,,,,,,,,,1196,Sat,8:00 PM,9:00 PM,NBCSNW,150.0,3.9,8.0,46.0,70.0,FSSW-SA,135.0,8,14,74,,,,1025.0,29.9%
122.0,2018-04-06,BOS,CHI,12347.0,27792.0,10353.0,24086.0,2323.0,3706.0,453937.36,2017-18,18624.0,18624.0,14565.0,848.0,1806.0,17219.0,2.42,3.46,,,,,,,,,1185,Fri,7:30 PM,7:30 PM,WGN,135.0,1.7,3.0,56.0,75.0,NBCSB,135.0,2.9,5,70,93,,,1581.0,112.7%
123.0,2018-04-06,DET,DAL,4240.0,7896.0,3525.0,6861.0,782.0,1035.0,100159.68,2017-18,18768.0,20491.0,8370.0,5093.0,1235.0,14698.0,1.85,2.71,,,,,,,,,1181,Fri,7:00 PM,7:00 PM,FSSW-DAL,150.0,0.3,1.0,9.0,11.0,FSD,150.0,0.6,1,12,18,,,4.0,-17.3%
124.0,2018-04-06,LAL,MIN,1622.0,2544.0,73.0,115.0,1549.0,2429.0,60888.22,2017-18,18997.0,18997.0,14646.0,391.0,1303.0,16340.0,5.48,1.74,265.0,NBA TV,10:34 PM,12:57 AM,143.0,0.43,242.0,197.0,1190,Fri,7:30 PM,10:30 PM,FSNTH,150.0,2.9,7.0,49.0,65.0,SPECSN/D,150.0,1.7,3,92,123,NBA TV,NBAC,1350.0,14.2%
125.0,2018-04-06,MEM,SAC,4399.0,7799.0,3839.0,6939.0,624.0,860.0,112840.85,2017-18,16527.0,17794.0,10291.0,2611.0,480.0,13382.0,0.63,1.38,,,,,,,,,1188,Fri,7:00 PM,8:00 PM,NBCSCA,150.0,1.2,2.0,17.0,22.0,FSSE-MEM,150.0,0.66,1.1,4,,,,263.0,-24.7%
126.0,2018-04-06,NYK,MIA,6348.0,14397.0,5365.0,12696.0,1113.0,1701.0,234292.77,2017-18,19569.0,19812.0,11322.0,769.0,5438.0,17529.0,7.35,1.7,,,,,,,,,1186,Fri,7:30 PM,7:30 PM,FSSUN,150.0,2.6,5.0,43.0,62.0,MSG,150.0,0.8,2,59,75,,,803.0,-68.3%
127.0,2018-04-06,ORL,CHA,1788.0,3183.0,1341.0,2615.0,465.0,568.0,35267.89,2017-18,17018.0,18846.0,6010.0,4573.0,2987.0,13570.0,1.52,1.19,,,,,,,,,1182,Fri,7:00 PM,7:00 PM,FSSE-CHA,135.0,0.466666667,1.0,5.666666667,11.0,FSFL,135.0,0,0,1,1,,,300.0,-21.1%
128.0,2018-04-06,PHI,CLE,8939.0,15934.0,456.0,828.0,8485.0,15106.0,438036.17,2017-18,20769.0,20478.0,15179.0,2335.0,1131.0,18645.0,2.94,1.5,264.0,NBA TV,7:00 PM,9:43 PM,163.0,0.77,470.0,355.0,1183,Fri,7:00 PM,7:00 PM,FSO,165.0,9,15.0,131.0,199.0,NBCSPA,165.0,5.8,11,166,252,NBA TV,NBAC,,
129.0,2018-04-06,PHX,NOP,6746.0,13540.0,6205.0,12754.0,602.0,786.0,269835.85,2017-18,18055.0,18055.0,5861.0,5695.0,909.0,12465.0,1.89,0.64,,,,,,,,,1189,Fri,7:00 PM,10:00 PM,FSNO,150.0,0.96,1.6,6.0,,FSA,150.0,0.4,1,8,7,,,232.0,-2.8%
130.0,2018-04-06,TOR,IND,6437.0,12843.0,5592.0,11558.0,929.0,1285.0,215286.73,2017-18,19924.0,19800.0,14656.0,1766.0,1841.0,18263.0,2.86,1.09,,,,,,,,,1187,Fri,7:30 PM,7:30 PM,FSIND,135.0,3.8,6.0,39.0,,SN1,,,,,,,SN1,1136.0,90.9%
131.0,2018-04-06,WAS,ATL,3805.0,7030.0,3257.0,6310.0,581.0,720.0,93300.16,2017-18,19557.0,20356.0,9888.0,2242.0,2630.0,14760.0,2.48,2.41,,,,,,,,,1184,Fri,7:00 PM,7:00 PM,FSSE-ATL,150.0,0.5,1.0,12.0,20.0,NBCSWA,150.0,1,2,24,28,,,781.0,-15.9%
132.0,2018-04-05,CLE,WAS,28700.0,92449.0,24708.0,84428.0,4383.0,8021.0,931415.29,2017-18,20562.0,20562.0,15004.0,2900.0,1185.0,19089.0,1.5,2.48,262.0,TNT,0.843055556,0.942361111,144.0,1.5,1755.0,1381.0,1176,Thu,8:00 PM,8:00 PM,,,,,,,,,,,,,TNT,TSN,101.0,25.4%
133.0,2018-04-05,DEN,MIN,9627.0,24845.0,8651.0,23435.0,1021.0,1410.0,238384.57,2017-18,16415.0,19520.0,5693.0,2455.0,3173.0,11321.0,1.63,1.74,263.0,TNT,0.943055556,0.043055556,145.0,0.955301994,1083.0,864.0,1180,Thu,8:30 PM,10:30 PM,FSNTH,150.0,2.4,6.0,42.0,57.0,,,,,,,TNT,TSN,,
134.0,2018-04-05,HOU,POR,17308.0,36411.0,14336.0,31265.0,3345.0,5146.0,561945.25,2017-18,18055.0,18055.0,12232.0,2266.0,1110.0,15608.0,2.45,1.14,,,,,,,,,1177,Thu,7:00 PM,8:00 PM,NBCSNW,150.0,3.2,7.0,38.0,53.0,ATTSN-SW,150.0,2.8,5,68,89,,NBAC,48.0,23.8%
135.0,2018-04-05,IND,GSW,22906.0,48942.0,20024.0,44268.0,3194.0,4674.0,914234.04,2017-18,17923.0,17923.0,9265.0,2513.0,4608.0,16386.0,1.09,2.49,,,,,,,,,1175,Thu,7:00 PM,7:00 PM,NBCSBA,135.0,4.6,13.0,114.0,142.0,FSIND,150.0,4.7,8,48,,,,373.0,205.5%
136.0,2018-04-05,MIL,BRK,5890.0,12770.0,5170.0,11591.0,791.0,1179.0,179249.82,2017-18,18378.0,18717.0,7983.0,3163.0,4062.0,15208.0,0.9,7.35,,,,,,,,,1178,Thu,7:00 PM,8:00 PM,YES,135.0,0.1,0.0,11.0,12.0,FSWIS,150.0,1.9,3,17,,,,19.0,-53.1%
137.0,2018-04-05,UTA,LAC,9556.0,21929.0,8470.0,19834.0,1281.0,2095.0,432233.39,2017-18,18306.0,18306.0,10634.0,1741.0,1875.0,14250.0,0.92,5.48,,,,,,,,,1179,Thu,7:00 PM,9:00 PM,FSPT,150.0,0.4,1.0,19.0,29.0,ATTSN-RM,150.0,7.91,15.5,75.2,,,,271.0,67.3%
138.0,2018-04-04,ATL,MIA,6087.0,12941.0,5301.0,11458.0,928.0,1483.0,207000.93,2017-18,16696.0,15711.0,6585.0,4702.0,3356.0,14643.0,2.41,1.7,,,,,,,,,1172,Wed,7:30 PM,7:30 PM,FSSUN,150.0,2.8,5.0,47.0,68.0,FSSE-ATL,135.0,0.3,1,8,7,,,325.0,-18.7%
139.0,2018-04-04,DET,PHI,15645.0,34037.0,13567.0,30832.0,2312.0,3205.0,672262.7,2017-18,18395.0,20491.0,8390.0,2600.0,1728.0,12718.0,1.85,2.94,,,,,,,,,1169,Wed,7:00 PM,7:00 PM,NBCSPA,150.0,3,5.0,86.0,107.0,FSD,150.0,1.3,2,24,33,,,3.0,11.2%
140.0,2018-04-04,LAL,SAS,2342.0,4055.0,107.0,195.0,2235.0,3860.0,98262.7,2017-18,18997.0,18997.0,14646.0,73.0,1650.0,16369.0,5.48,0.94,261.0,ESPN,0.940972222,0.05,158.0,1.2,1305.0,1050.0,1174,Wed,7:30 PM,10:30 PM,FSSW-SA,165.0,3.1,7.0,29.0,,SPECSN/D,165.0,1.4,2,75,109,ESPN,,1333.0,10.2%
141.0,2018-04-04,NOP,MEM,4783.0,8619.0,4194.0,7794.0,640.0,825.0,136854.43,2017-18,16521.0,16903.0,9327.0,1252.0,1778.0,12357.0,0.64,0.63,,,,,,,,,1173,Wed,8:30 PM,9:30 PM,FSSE-MEM,135.0,0.544444444,1.0,3.5555555560000003,,FSNO,150.0,2.3,3,14,,,NBAC,401.0,-30.1%
142.0,2018-04-04,ORL,DAL,3903.0,7665.0,3450.0,7008.0,495.0,657.0,95109.71,2017-18,18112.0,18846.0,5849.0,4931.0,3256.0,14036.0,1.52,2.71,,,,,,,,,1170,Wed,7:00 PM,7:00 PM,FSSW-DAL,150.0,0.5,1.0,12.0,15.0,FSFL,150.0,0.2,0,3,3,,,327.0,-17.6%
143.0,2018-04-04,TOR,BOS,1457.0,2219.0,73.0,131.0,1384.0,2088.0,47975.65,2017-18,19963.0,19800.0,14657.0,1640.0,1859.0,18156.0,2.86,2.42,260.0,ESPN,0.834027778,0.940277778,154.0,1.2,1311.0,1042.0,1171,Wed,7:00 PM,7:00 PM,NBCSB,150.0,2.6,4.0,64.0,79.0,TSN,,,,,,ESPN,TSN,1139.0,140.1%
144.0,2018-04-03,CHI,CHA,2772.0,5560.0,2273.0,4755.0,531.0,805.0,77024.32,2017-18,20139.0,20917.0,9870.0,3412.0,6601.0,19883.0,3.46,1.19,,,,,,,,,1160,Tue,7:00 PM,8:00 PM,FSSE-CHA,135.0,0.733333333,1.111111111,8.333333332999999,17.0,NBCSCH,135.0,1.1,2,36,51,,,68.0,-35.5%
145.0,2018-04-03,CLE,TOR,45161.0,131232.0,40218.0,120390.0,6169.0,10842.0,2277351.78,2017-18,20562.0,20562.0,14975.0,2896.0,1201.0,19072.0,1.5,2.86,,,,,,,,,1156,Tue,7:00 PM,7:00 PM,TSN,,,,,,FSO,150.0,9.8,15,142,201,,TSN,113.0,33.8%
146.0,2018-04-03,DAL,POR,6230.0,13252.0,5503.0,12096.0,790.0,1156.0,192640.51,2017-18,19624.0,19200.0,12139.0,2306.0,1112.0,15557.0,2.71,1.14,,,,,,,,,1164,Tue,7:30 PM,8:30 PM,NBCSNW,150.0,3.6,7.0,42.0,66.0,KTXA,135.0,0.6,1,15,18,,,294.0,-26.1%
147.0,2018-04-03,DEN,IND,7854.0,17216.0,7158.0,16071.0,792.0,1145.0,324991.23,2017-18,14743.0,19520.0,5479.0,1012.0,1020.0,7511.0,1.63,1.09,,,,,,,,,1165,Tue,7:00 PM,9:00 PM,FSIND,150.0,4.1,7.0,42.0,,ALT,150.0,0.9,2,14,16,,,,
148.0,2018-04-03,HOU,WAS,9247.0,19686.0,7602.0,16804.0,1837.0,2882.0,331163.74,2017-18,18055.0,18055.0,12107.0,2142.0,919.0,15168.0,2.45,2.48,,,,,,,,,1161,Tue,7:00 PM,8:00 PM,NBCSWA,135.0,0.8,1.0,21.0,32.0,ATTSN-SW,135.0,1.7,3,41,57,,,50.0,-16.9%
149.0,2018-04-03,LAC,SAS,8438.0,24761.0,7574.0,23458.0,901.0,1303.0,243082.32,2017-18,17449.0,19068.0,11225.0,2244.0,1450.0,14919.0,5.48,0.94,259.0,TNT,10:43 PM,1:27 AM,164.0,0.9,1005.0,834.0,1168,Tue,7:30 PM,10:30 PM,KENS,180.0,6.6,15.0,61.0,,,,,,,,TNT,TSN2,4.0,37.4%
150.0,2018-04-03,MIA,ATL,8114.0,19155.0,7295.0,17625.0,987.0,1530.0,258421.84,2017-18,19600.0,19600.0,12878.0,4044.0,1139.0,18061.0,1.7,2.41,,,,,,,,,1158,Tue,7:30 PM,7:30 PM,FSSE-ATL,150.0,0.5,1.0,11.0,17.0,FSSUN,150.0,2.9,5,49,62,,,1182.0,5.6%
151.0,2018-04-03,MIL,BOS,22950.0,55160.0,21132.0,52222.0,2046.0,2938.0,971027.72,2017-18,16188.0,18717.0,8874.0,2904.0,2497.0,14275.0,0.9,2.42,,,,,,,,,1162,Tue,7:00 PM,8:00 PM,NBCSB,150.0,2.2,4.0,53.0,66.0,FSWIS+,150.0,1.22,1.9,10.7,,,,17.0,-23.3%
