"","Date","Home","Away","Unique_Devices","Starts","Live_Unique_Devices","Live_Starts","VOD_Unique_Devices","VOD_Starts","Life_Play_Time","Attendance","Capacity","Num_Secondary_Transactions","Avg_Markup","season_tickets","group_tickets","single_game_tickets","total_ns_tickets","NAT.TV","NAT_dur","NAT_ratings","NAT_avg_viewers","NAT_avg_household","CN.TV","CN.TV2","DAY","DAY2","ET","ET2","Month","A_DUR","A_HH.RTG","A_HH.SHR","A_HH.IMP","H_DUR","H_HH.RTG","H_HH.SHR","H_HH.IMP","dma_home","dma_away","home_gt","away_gt","home_gt_q","away_gt_q","home_gt_lag","away_gt_lag","home_gt_lagq","away_gt_lagq","gt_tot","gtlag_tot","gt2_tot","gtq_tot","gtlagq_tot","gt2q_tot","Home_Followers_Facebook","Home_Followers_Twitter","Home_Followers_Instagram","Home_Followers_Snapchat","Home_Followers_Weibo","Home_Engagements_Facebook","Home_Engagements_Twitter","Home_Engagements_Instagram","Home_Impressions_Facebook","Home_Impressions_Twitter","Away_Followers_Facebook","Away_Followers_Twitter","Away_Followers_Instagram","Away_Followers_Snapchat","Away_Followers_Weibo","Away_Engagements_Facebook","Away_Engagements_Twitter","Away_Engagements_Instagram","Away_Impressions_Facebook","Away_Impressions_Twitter","fbf_tot","twf_tot","igf_tot","scf_tot","wbf_tot","fbe_tot","twe_tot","ige_tot","fbi_tot","twi_tot","sellout","dma_tot"
"11","2018-04-11","POR","UTA",1051,1706,64,112,987,1594,40051.1,20186,19393,673,"45.00%",12830,3087,2505,18422,"ESPN",143,1,1109,886,"NBAC","NBAC","Wed","Weekday","7:30 PM","7:30 PM","4",150,6.46,13,61.2,165,4.1,8,49,1.14,0.92,33.3333333333333,85,2.46913580246914,3.4,57.5714285714286,46.5,4.26455026455027,1.86,118.333333333333,104.071428571429,222.404761904762,5.86913580246914,6.12455026455027,11.9936860670194,2440198,1148812,1011423,86016,573504,3321332,1809974,3585464,25817833,22731072,1677491,831086,605612,65671,675542,5884959,8155287,7221270,35140921,62738633,4117689,1979898,1617035,151687,1249046,9206291,9965261,10806734,31702792,85469705,1.0408910431599,2.06
"12","2018-04-11","SAC","HOU",7094,13565,6449,12507,722,1058,274897.56,17583,17583,518,"-14.00%",9907,1871,2823,14601,"none",NA,NA,NA,NA,"none","none","Wed","Weekday","7:30 PM","7:30 PM","4",135,1.5,3,36,135,1.8,3,25,1.38,2.45,24.4444444444444,8.57142857142857,2.71604938271605,3.06122448979592,52.4615384615385,6.2,5.82905982905983,2.21428571428571,33.015873015873,58.6615384615385,91.6774114774115,5.77727387251197,8.04334554334554,13.8206194158575,5637107,991313,739443,48969,944930,1925209,1193884,1200038,23949995,12005802,9424989,2604125,2363599,167076,3387441,14806649,7117121,17654534,104728464,60572699,15062096,3595438,3103042,216045,4332371,16731858,8311005,18854572,38756644,72578501,1,3.83
"13","2018-04-10","ATL","PHI",17788,41961,16393,39682,1628,2279,650634.47,15673,15711,214,"-32.80%",6618,4771,1778,13167,"none",NA,NA,NA,NA,"none","none","Tue","Weekday","7:30 PM","7:30 PM","4",150,3.8,6,108,150,0.4,1,10,2.41,2.94,31,42.9230769230769,3.44444444444444,3.93461538461538,21,47.25,2.33333333333333,4.33125,73.9230769230769,68.25,142.173076923077,7.37905982905983,6.66458333333333,14.0436431623932,1642015,1209789,773244,67437,504408,419406,1015959,907971,4967262,13654081,1692849,1522523,1095611,65468,1236429,8220478,13436782,13035076,51884208,88333894,3334864,2732312,1868855,132905,1740837,8639884,14452741,13943047,13187740,101987975,0.997581312456241,5.35
"14","2018-04-10","DAL","PHX",3474,6598,3057,5955,458,643,79945.06,20041,19200,433,"8.50%",11758,1582,3425,16765,"none",NA,NA,NA,NA,"none","none","Tue","Weekday","7:30 PM","7:30 PM","4",135,0.5,1,9,NA,NA,NA,NA,2.71,1.89,25.2592592592593,22.1428571428571,7.85843621399177,2.421875,8.16666666666667,23.3333333333333,2.54074074074074,2.55208333333333,47.4021164021164,31.5,78.9021164021164,10.2803112139918,5.09282407407408,15.3731352880658,4445715,1497462,764535,58197,2956040,1429537,709842,618802,15481130,8151989,1913201,1003688,727022,53494,522675,746138,789473,1115364,8172432,9760708,6358916,2501150,1491557,111691,3478715,2175675,1499315,1734166,16227268,17912697,1.04380208333333,4.6
"15","2018-04-10","IND","CHA",5558,10561,4970,9743,635,818,137870.19,17331,17923,254,"-6.50%",7273,4024,2120,13417,"none",NA,NA,NA,NA,"NBAC","NBAC","Tue","Weekday","7:00 PM","7:00 PM","4",120,0.375,1,4.25,120,3.4,6,35,1.09,1.19,22.7333333333333,8.26666666666667,5.68333333333333,4.59259259259259,10.5,5.25,2.625,2.91666666666667,31,15.75,46.75,10.2759259259259,5.54166666666667,15.8175925925926,3321471,1131991,1219888,72930,946901,5080702,3756355,5156108,46259484,34349574,1770689,888828,836752,59828,940441,713940,508810,1259331,6774069,8495962,5092160,2020819,2056640,132758,1887342,5794642,4265165,6415439,46973424,42845536,0.966969815321096,2.28
"16","2018-04-10","LAL","HOU",13218,35829,11426,32783,1898,3046,324491.1,18997,18997,1216,"26.60%",14644,210,1513,16367,"TNT",138,1.003445762,1114,907,"SN1","SN","Tue","Weekday","7:30 PM","7:30 PM","4",150,1.8,4,44,135,1.1,2,59,5.48,2.45,10.3333333333333,6.2,2.06666666666667,2.21428571428571,7.35,14,1.47,5,16.5333333333333,21.35,37.8833333333333,4.28095238095238,6.47,10.7509523809524,21468929,7446076,4548982,250270,2926855,13206306,7141653,6274200,123988643,77794231,9424989,2604125,2363599,167076,3387441,14806649,7117121,17654534,104728464,60572699,30893918,10050201,6912581,417346,6314296,28012955,14258774,23928734,138795292,138366930,1,7.93
"17","2018-04-10","UTA","GSW",28755,65792,26268,61372,2937,4420,1115231.38,18306,18306,239,"142.70%",10593,787,1412,12792,"none",NA,NA,NA,NA,"TSN2","TSN2","Tue","Weekday","7:00 PM","7:00 PM","4",135,4.5,9,110,150,9.59,19.7,91.1,0.92,2.49,46.5,9.3,1.86,3.1,68.25,7,2.73,2.33333333333333,55.8,75.25,131.05,4.96,5.06333333333333,10.0233333333333,1677491,831086,605612,65671,675542,5884959,8155287,7221270,35140921,62738633,11114267,5724265,8250231,621686,4089069,28436600,11716406,46889139,205520902,133819327,12791758,6555351,8855843,687357,4764611,34321559,19871693,54110409,63577521,196557960,1,3.41
"18","2018-04-10","WAS","BOS",12396,32557,11396,31049,1060,1508,366516.83,18887,20356,889,"36.50%",10789,6024,1551,18364,"TNT",142,1.1,1204,975,"SN1","SN","Tue","Weekday","8:00 PM","Late","4",150,1.4,2,34,NA,NA,NA,NA,2.48,2.42,113.666666666667,5.16666666666667,2.67450980392157,5.74074074074074,73.5,3.15,1.72941176470588,3.5,118.833333333333,76.65,195.483333333333,8.41525054466231,5.22941176470588,13.6446623093682,1542015,864431,849168,56612,504495,1517054,1757371,4105878,14286775,21669255,9000402,3248218,2510041,195676,828928,13191480,8142929,29167899,126956675,91206435,10542417,4112649,3359209,252288,1333423,14708534,9900300,33273777,27478255,112875690,0.927834545097269,4.9
"19","2018-04-09","BRK","CHI",3106,6511,2635,5814,516,697,89883.92,16187,17732,NA,"",9339,2888,1853,14080,"none",NA,NA,NA,NA,"none","none","Mon","Weekday","7:30 PM","7:30 PM","4",135,1.4,2,45,135,0.2,0,16,7.35,3.46,4.2,13.65,2.33333333333333,7.58333333333333,6.38888888888889,20.4444444444444,3.54938271604938,11.358024691358,17.85,26.8333333333333,44.6833333333333,9.91666666666667,14.9074074074074,24.8240740740741,2729529,893179,787439,76638,2175337,295973,511285,911436,5330332,9189433,18299776,4116376,3515387,264202,1753769,9998551,1501055,2465613,85704563,25945575,21029305,5009555,4302826,340840,3929106,10294524,2012340,3377049,15328883,35135008,0.91286938867584,10.81
"20","2018-04-09","DEN","POR",25222,58199,24063,56141,1353,2058,1244435.12,17467,19520,NA,"",7143,3115,2121,12379,"none",NA,NA,NA,NA,"TSN","TSN","Mon","Weekday","7:00 PM","7:00 PM","4",150,4.1,8,49,150,1.5,3,23,1.63,1.14,7.35,30.3333333333333,2.625,2.24691358024691,12.7777777777778,100.625,4.56349206349206,7.4537037037037,37.6833333333333,113.402777777778,151.086111111111,4.87191358024691,12.0171957671958,16.8891093474427,2005240,802676,623844,33728,915997,2965947,1349501,1891151,21026270,14446933,2440198,1148812,1011423,86016,573504,3321332,1809974,3585464,25817833,22731072,4445438,1951488,1635267,119744,1489501,6287279,3159475,5476615,24347602,37178005,0.894825819672131,2.77
"21","2018-04-09","DET","TOR",7379,13742,6602,12611,850,1131,187258.42,17529,20491,5,"-40.00%",8646,64,1288,9998,"none",NA,NA,NA,NA,"SN1","SN","Mon","Weekday","7:00 PM","7:00 PM","4",NA,NA,NA,NA,135,0.7,1,13,1.85,2.86,4.2,26.25,1.55555555555556,1.15808823529412,10.2222222222222,69,3.78600823045267,3.04411764705882,30.45,79.2222222222222,109.672222222222,2.71364379084967,6.8301258775115,9.54376966836117,1815727,859572,705620,60541,1015027,1405673,457836,992964,10207681,8348707,2278766,1706502,1349163,96645,4022099,4502452,9265825,16530766,27042812,56559810,4094493,2566074,2054783,157186,5037126,5908125,9723661,17523730,14710133,64908517,0.855448733590357,4.71
"22","2018-04-09","LAC","NOP",584,821,32,41,553,780,15135.07,15742,19068,7,"-53.90%",11063,2330,946,14339,"ESPN",118,0.648072132,688,562,"NBAC","NBAC","Mon","Weekday","7:30 PM","7:30 PM","4",NA,NA,NA,NA,150,0.3,1,18,5.48,0.64,27.3,19.5,6.825,3.25,30.6666666666667,40.25,7.66666666666667,6.70833333333333,46.8,70.9166666666667,117.716666666667,10.075,14.375,24.45,3849568,1375961,1860111,109432,2853823,815563,599064,1972376,10950766,8410026,1735803,827357,912164,44434,893001,2574074,4103868,4216470,23121622,33782844,5585371,2203318,2772275,153866,3746824,3389637,4702932,6188846,13524840,42192870,0.825571638346969,6.12
"23","2018-04-09","MIA","OKC",31581,86712,29541,82493,2509,4219,1297490.24,19600,19600,1183,"62.10%",13268,3644,1378,18290,"none",NA,NA,NA,NA,"none","none","Mon","Weekday","7:30 PM","7:30 PM","4",150,8.83,13,62.2,150,3.3,6,56,1.7,0.72,6,13.65,2.32894736842105,1.625,10.6153846153846,21.7222222222222,4.12044534412956,2.58597883597884,19.65,32.3376068376068,51.9876068376068,3.95394736842105,6.70642418010839,10.6603715485294,15691335,4722872,2959140,146890,2259615,11883099,3918574,12165232,94293640,49350875,7249160,2620866,3391866,202895,1712578,6740611,5644063,23893602,56206461,46825722,22940495,7343738,6351006,349785,3972193,18623710,9562637,36058834,101034251,96176597,1,2.42
"24","2018-04-09","MIL","ORL",4799,9078,4253,8274,581,804,462876.72,18717,18717,18,"-52.50%",8486,2123,5289,15898,"none",NA,NA,NA,NA,"none","none","Mon","Weekday","7:00 PM","7:00 PM","4",135,0.4,1,6,135,2,3,18,0.9,1.52,16.5,18.375,3.66666666666667,1.70625,23,26.2857142857143,5.11111111111111,2.44081632653061,34.875,49.2857142857143,84.1607142857143,5.37291666666667,7.55192743764172,12.9248441043084,1645806,894310,988621,98816,2954787,6571866,5279731,8060318,32070951,44155513,2787417,1596383,658096,27315,1507538,3130150,672604,913620,17410946,5072428,4433223,2490693,1646717,126131,4462325,9702016,5952335,8973938,35201101,49227941,1,2.42
"25","2018-04-09","MIN","MEM",8439,18114,7703,16937,832,1177,246841.72,17641,18978,NA,"",7933,4749,573,13255,"none",NA,NA,NA,NA,"none","none","Mon","Weekday","7:00 PM","7:00 PM","4",135,0.6,1,4,135,3.6,6,62,1.74,0.63,4.5,8.4,2.8125,2.1875,7.66666666666667,11.5,4.79166666666667,2.99479166666667,12.9,19.1666666666667,32.0666666666667,5,7.78645833333333,12.7864583333333,1902174,877382,1057987,55514,2841348,2833829,4564426,4355669,24461205,39379967,1835036,935473,572556,43076,498356,395616,732943,582063,4703414,10108773,3737210,1812855,1630543,98590,3339704,3229445,5297369,4937732,24856821,49488740,0.929550005269259,2.37
"26","2018-04-09","NYK","CLE",3447,6529,154,323,3293,6206,164643.31,19449,19812,851,"-42.00%",11676,693,4720,17089,"NBA TV",157,0.640948079,380,297,"none","none","Mon","Weekday","7:30 PM","7:30 PM","4",135,9,14,130,150,0.6,1,39,7.35,1.5,7.35,5.83333333333333,3.39230769230769,2.87615740740741,10.2222222222222,10.0625,4.71794871794872,4.96137152777778,13.1833333333333,20.2847222222222,33.4680555555556,6.2684650997151,9.6793202457265,15.9477853454416,6001908,2088947,1707865,81479,1694712,1858432,1441278,4614649,21275917,13818794,8731609,3219609,6260452,487466,3384848,19299172,18709991,69543217,190008684,142146150,14733517,5308556,7968317,568945,5079560,21157604,20151269,74157866,40575089,155964944,0.98167777104785,8.85
"27","2018-04-09","SAS","SAC",14246,31611,13303,29543,1228,2068,534294.37,18418,18418,666,"-13.80%",13324,2729,740,16793,"none",NA,NA,NA,NA,"none","none","Mon","Weekday","7:30 PM","7:30 PM","4",135,1.9,4,27,150,8.5,13,79,0.94,1.38,36.75,26.25,1.89227642276423,2.91666666666667,59.1428571428571,65.7142857142857,3.04529616724739,7.3015873015873,63,124.857142857143,187.857142857143,4.80894308943089,10.3468834688347,15.1558265582656,7199625,3360317,2114759,160498,2445541,10371617,5903099,13725839,106220951,66435596,5637107,991313,739443,48969,944930,1925209,1193884,1200038,23949995,12005802,12836732,4351630,2854202,209467,3390471,12296826,7096983,14925877,108146160,78441398,1,2.32
"28","2018-04-08","BOS","ATL",11494,23750,9800,21094,1860,2656,449964,18624,18624,1272,"72.50%",14586,1102,1531,17219,"none",NA,NA,NA,NA,"none","none","Sun","Sun","7:30 PM","7:30 PM","4",135,0.5,1,11,135,1.5,4,36,2.42,2.41,6.38888888888889,23,7.09876543209877,2.55555555555556,4.66666666666667,28,5.18518518518518,3.11111111111111,29.3888888888889,32.6666666666667,62.0555555555556,9.65432098765432,8.2962962962963,17.9506172839506,9000402,3248218,2510041,195676,828928,13191480,8142929,29167899,126956675,91206435,1642015,1209789,773244,67437,504408,419406,1015959,907971,4967262,13654081,10642417,4458007,3283285,263113,1333336,13610886,9158888,30075870,127376081,104860516,1,4.83
"29","2018-04-08","CHA","IND",5595,10446,4443,8778,1231,1668,174970.44,16629,19077,143,"10.90%",10753,1193,75,12021,"none",NA,NA,NA,NA,"none","none","Sun","Sun","1:00 PM","Noon","4",150,2.7,6,28,150,0.82,1.9,9.3,1.19,1.09,8.94444444444444,28.1111111111111,4.96913580246914,7.02777777777778,8.16666666666667,14,4.53703703703704,3.5,37.0555555555556,22.1666666666667,59.2222222222222,11.9969135802469,8.03703703703704,20.033950617284,1770689,888828,836752,59828,940441,713940,508810,1259331,6774069,8495962,3321471,1131991,1219888,72930,946901,5080702,3756355,5156108,46259484,34349574,5092160,2020819,2056640,132758,1887342,5794642,4265165,6415439,11854771,42845536,0.871677936782513,2.28
"30","2018-04-08","LAL","UTA",18740,40019,16677,36278,2421,3741,874197.47,18997,18997,1169,"3.60%",14650,338,1098,16086,"none",NA,NA,NA,NA,"none","none","Sun","Sun","3:00 PM","Afternoon","4",150,7.46,17,70.8,150,0.8,2,45,5.48,0.92,10.2222222222222,130.333333333333,2.04444444444444,5.21333333333333,15.1666666666667,70,3.03333333333333,2.8,140.555555555556,85.1666666666667,225.722222222222,7.25777777777778,5.83333333333333,13.0911111111111,21468929,7446076,4548982,250270,2926855,13206306,7141653,6274200,123988643,77794231,1677491,831086,605612,65671,675542,5884959,8155287,7221270,35140921,62738633,23146420,8277162,5154594,315941,3602397,19091265,15296940,13495470,129873602,140532864,1,6.4
"31","2018-04-08","MEM","DET",478,595,19,25,459,570,10005.98,16044,17794,238,"-31.10%",9677,3135,207,13019,"NBA TV",142,0.317334833,178,147,"NBAC","NBAC","Sun","Sun","2:30 PM","Noon","4",135,0.5,1,10,135,1.34,2.1,8.6,0.63,1.85,11.5,10.2222222222222,2.99479166666667,3.78600823045267,11.6666666666667,5.83333333333333,3.03819444444445,2.16049382716049,21.7222222222222,17.5,39.2222222222222,6.78079989711934,5.19868827160494,11.9794881687243,1835036,935473,572556,43076,498356,395616,732943,582063,4703414,10108773,1815727,859572,705620,60541,1015027,1405673,457836,992964,10207681,8348707,3650763,1795045,1278176,103617,1513383,1801289,1190779,1575027,6109087,18457480,0.901652242328875,2.48
"32","2018-04-08","PHI","DAL",2484,3531,105,158,2381,3373,73258.85,20846,20478,NA,"",15316,2297,676,18289,"NBA TV",146,0.336759071,183,156,"NBAC","NBAC","Sun","Sun","1:00 PM","Noon","4",135,0.8,2,21,135,2.8,6,80,2.94,2.71,101.857142857143,27.3125,9.33690476190476,8.49722222222222,159.6,15.2727272727273,14.63,4.75151515151515,129.169642857143,174.872727272727,304.04237012987,17.834126984127,19.3815151515152,37.2156421356421,1692849,1522523,1095611,65468,1236429,8220478,13436782,13035076,51884208,88333894,4445715,1497462,764535,58197,2956040,1429537,709842,618802,15481130,8151989,6138564,3019985,1860146,123665,4192469,9650015,14146624,13653878,53313745,96485883,1.01797050493212,5.65
"33","2018-04-08","PHX","GSW",2457,4548,169,607,2288,3941,113240.96,18055,18055,378,"75.30%",6577,2318,3520,12415,"NBA TV",131,0.729645037,423,338,"SN1","SN","Sun","Sun","6:00 PM","Afternoon","4",135,7.8,17,191,135,0.6,1,11,1.89,2.49,97.75,15.3333333333333,10.69140625,5.11111111111111,38.1818181818182,14,4.17613636363636,4.66666666666667,113.083333333333,52.1818181818182,165.265151515152,15.8025173611111,8.84280303030303,24.6453203914141,1913201,1003688,727022,53494,522675,746138,789473,1115364,8172432,9760708,11114267,5724265,8250231,621686,4089069,28436600,11716406,46889139,205520902,133819327,13027468,6727953,8977253,675180,4611744,29182738,12505879,48004503,36609032,143580035,1,4.38
"34","2018-04-08","TOR","ORL",529,710,27,31,502,679,12520.13,19948,19800,1164,"69.80%",14695,1596,1957,18248,"NBA TV",146,0.408236016,244,189,"SN1","SN","Sun","Sun","6:00 PM","Afternoon","4",135,0.2,0,3,NA,NA,NA,NA,2.86,1.52,69,26.2857142857143,3.04411764705882,2.44081632653061,63,28,2.77941176470588,2.6,95.2857142857143,91,186.285714285714,5.48493397358944,5.37941176470588,10.8643457382953,2278766,1706502,1349163,96645,4022099,4502452,9265825,16530766,27042812,56559810,2787417,1596383,658096,27315,1507538,3130150,672604,913620,17410946,5072428,5066183,3302885,2007259,123960,5529637,7632602,9938429,17444386,30172962,61632238,1.00747474747475,4.38
"35","2018-04-07","CHI","BRK",2923,5623,2425,4832,541,791,90180.99,21669,20917,148,"-31.10%",9675,5543,4213,19431,"none",NA,NA,NA,NA,"none","none","Sat","Sat","7:00 PM","7:00 PM","4",135,0.2,0,12,135,0.9,2,29,3.46,7.35,23.3333333333333,4.66666666666667,12.962962962963,2.59259259259259,26.6315789473684,5.78947368421053,14.7953216374269,3.21637426900585,28,32.4210526315789,60.4210526315789,15.5555555555556,18.0116959064327,33.5672514619883,18299776,4116376,3515387,264202,1753769,9998551,1501055,2465613,85704563,25945575,2729529,893179,787439,76638,2175337,295973,511285,911436,5330332,9189433,21029305,5009555,4302826,340840,3929106,10294524,2012340,3377049,86000536,35135008,1.0359516183009,10.81
