"Live_Starts","Attendance","Capacity","sellout","Num_Secondary_Transactions","Avg_Markup","season_tickets","group_tickets","single_game_tickets","gt_tot","gt2_tot","gtq_tot","gt2q_tot","dma_tot","fbf_tot","twf_tot","igf_tot","scf_tot","wbf_tot","fbe_tot","twe_tot","ige_tot","fbi_tot","twi_tot","ET2_7:30 PM","ET2_Afternoon","ET2_Late","ET2_Noon","DAY2_Sat","DAY2_Sun","DAY2_Weekday","NAT.TV_ESPN","NAT.TV_NBA TV","NAT.TV_none","NAT.TV_TNT","CN.TV2_none","CN.TV2_SN","CN.TV2_TSN","CN.TV2_TSN2","ID"
39682,15673,15711,0.997581312456241,214,-0.33,6618,4771,1778,73.9230769230769,142.173076923077,7.37905982905983,14.0436431623932,5.35,3334864,2732312,1868855,132905,1740837,8639884,14452741,13943047,13187740,101987975,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,11
5955,20041,19200,1.04380208333333,433,0.09,11758,1582,3425,47.4021164021164,78.9021164021164,10.2803112139918,15.3731352880658,4.6,6358916,2501150,1491557,111691,3478715,2175675,1499315,1734166,16227268,17912697,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,12
9743,17331,17923,0.966969815321096,254,-0.07,7273,4024,2120,31,46.75,10.2759259259259,15.8175925925926,2.28,5092160,2020819,2056640,132758,1887342,5794642,4265165,6415439,46973424,42845536,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13
32783,18997,18997,1,1216,0.27,14644,210,1513,16.5333333333333,37.8833333333333,4.28095238095238,10.7509523809524,7.93,30893918,10050201,6912581,417346,6314296,28012955,14258774,23928734,138795292,138366930,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,14
61372,18306,18306,1,239,1.43,10593,787,1412,55.8,131.05,4.96,10.0233333333333,3.41,12791758,6555351,8855843,687357,4764611,34321559,19871693,54110409,63577521,196557960,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,15
31049,18887,20356,0.927834545097269,889,0.37,10789,6024,1551,118.833333333333,195.483333333333,8.41525054466231,13.6446623093682,4.9,10542417,4112649,3359209,252288,1333423,14708534,9900300,33273777,27478255,112875690,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,16
12611,17529,20491,0.855448733590357,5,-0.4,8646,64,1288,30.45,109.672222222222,2.71364379084967,9.54376966836117,4.71,4094493,2566074,2054783,157186,5037126,5908125,9723661,17523730,14710133,64908517,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,17
41,15742,19068,0.825571638346969,7,-0.54,11063,2330,946,46.8,117.716666666667,10.075,24.45,6.12,5585371,2203318,2772275,153866,3746824,3389637,4702932,6188846,13524840,42192870,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18
82493,19600,19600,1,1183,0.62,13268,3644,1378,19.65,51.9876068376068,3.95394736842105,10.6603715485294,2.42,22940495,7343738,6351006,349785,3972193,18623710,9562637,36058834,101034251,96176597,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,19
8274,18717,18717,1,18,-0.53,8486,2123,5289,34.875,84.1607142857143,5.37291666666667,12.9248441043084,2.42,4433223,2490693,1646717,126131,4462325,9702016,5952335,8973938,35201101,49227941,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,20
323,19449,19812,0.98167777104785,851,-0.42,11676,693,4720,13.1833333333333,33.4680555555556,6.2684650997151,15.9477853454416,8.85,14733517,5308556,7968317,568945,5079560,21157604,20151269,74157866,40575089,155964944,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,21
29543,18418,18418,1,666,-0.14,13324,2729,740,63,187.857142857143,4.80894308943089,15.1558265582656,2.32,12836732,4351630,2854202,209467,3390471,12296826,7096983,14925877,108146160,78441398,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,22
21094,18624,18624,1,1272,0.73,14586,1102,1531,29.3888888888889,62.0555555555556,9.65432098765432,17.9506172839506,4.83,10642417,4458007,3283285,263113,1333336,13610886,9158888,30075870,127376081,104860516,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,23
8778,16629,19077,0.871677936782513,143,0.11,10753,1193,75,37.0555555555556,59.2222222222222,11.9969135802469,20.033950617284,2.28,5092160,2020819,2056640,132758,1887342,5794642,4265165,6415439,11854771,42845536,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,24
36278,18997,18997,1,1169,0.04,14650,338,1098,140.555555555556,225.722222222222,7.25777777777778,13.0911111111111,6.4,23146420,8277162,5154594,315941,3602397,19091265,15296940,13495470,129873602,140532864,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,25
25,16044,17794,0.901652242328875,238,-0.31,9677,3135,207,21.7222222222222,39.2222222222222,6.78079989711934,11.9794881687243,2.48,3650763,1795045,1278176,103617,1513383,1801289,1190779,1575027,6109087,18457480,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,26
607,18055,18055,1,378,0.75,6577,2318,3520,113.083333333333,165.265151515152,15.8025173611111,24.6453203914141,4.38,13027468,6727953,8977253,675180,4611744,29182738,12505879,48004503,36609032,143580035,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,27
31,19948,19800,1.00747474747475,1164,0.7,14695,1596,1957,95.2857142857143,186.285714285714,5.48493397358944,10.8643457382953,4.38,5066183,3302885,2007259,123960,5529637,7632602,9938429,17444386,30172962,61632238,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,28
4832,21669,20917,1.0359516183009,148,-0.31,9675,5543,4213,28,60.4210526315789,15.5555555555556,33.5672514619883,10.81,21029305,5009555,4302826,340840,3929106,10294524,2012340,3377049,86000536,35135008,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29
54973,19596,19596,1,2750,0.43,14729,1849,1408,40.3529411764706,92.814479638009,9.05882352941176,21.4690799396682,3.13,12850070,6551622,9162395,666120,4982070,31010674,15820274,51105609,208094976,167602171,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,30
563,18055,18055,1,110,1.38,12131,1342,2623,35,57.3859649122807,6.66666666666667,11.077694235589,3.17,16674149,5224991,5755465,369971,5100019,21547260,12761184,41548136,111469075,107398421,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31
88,16166,19068,0.847807845605202,6,-0.44,11131,3645,625,25.6666666666667,64.3918128654971,7.41666666666667,17.8423141186299,7.11,5854808,2178637,2483955,143160,3769820,3781510,1948565,3863527,13916713,22856959,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,32
15535,19812,19812,1,790,-0.7,11391,2852,3554,48.3823529411765,89.9011499336577,13.2644544997486,24.1534719150818,8.25,7647714,2983257,2696486,180295,4649499,8430298,6721009,12674967,27847783,57974307,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,33
32572,18610,18418,1.01042458464546,1025,0.3,12824,2932,1093,94.6909090909091,157.940909090909,5.62299416933563,9.37660753880266,2.08,9639823,4509129,3126182,246514,3019045,13692949,7713073,17311303,109542283,89166668,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,34
24086,18624,18624,1,1581,1.13,14565,848,1806,31.2631578947368,46.3400809716599,19.9415204678363,30.710751237067,5.88,27300178,7364594,6025428,459878,2582697,23190031,9643984,31633512,136955226,117152010,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,35
6861,18768,20491,0.915914303840711,4,-0.17,8370,5093,1235,14.8482972136223,27.8181968791741,4.96255016626534,9.18908305366779,4.56,6261442,2357034,1470155,118738,3971067,2835210,1167678,1611766,11637218,16500696,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,36
115,18997,18997,1,1350,0.14,14646,391,1303,33.4008097165992,48.8367071524966,9.55708502024292,14.6275978407557,7.22,23371103,8323458,5606969,305784,5768203,16040135,11706079,10629869,126822472,117174198,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37
6939,16527,17794,0.928796223446105,263,-0.25,10291,2611,480,31.2631578947368,93.6267942583732,4.85672514619883,13.8762958532695,2.01,7472143,1926786,1311999,92045,1443286,2320825,1926827,1782101,6628623,22114575,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,38
12696,19569,19812,0.987734706238643,803,-0.68,11322,769,5438,19.5187969924812,45.5916714864083,8.08617698091382,19.4709726667962,9.05,21693243,6811819,4667005,228369,3954327,13741531,5359852,16779881,33159016,63169669,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,39
2615,17018,18846,0.903003289822774,300,-0.21,6010,4573,2987,26.1973684210526,45.3861796098638,5.64714912280702,10.4187108943688,2.71,4558106,2485211,1494848,87143,2447979,3844090,1181414,2172951,18124886,13568390,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40
12754,18055,18055,1,232,-0.03,5861,5695,909,74.4615384615385,126.57264957265,9.88942307692308,16.836761039886,2.53,3649004,1831045,1639186,97928,1415676,3320212,4893341,5331834,10746506,43543552,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,41
11558,19924,19800,1.00626262626263,1136,0.91,14656,1766,1841,55,129.523076923077,6.95588235294118,12.9042986425339,3.95,5600237,2838493,2569051,169575,4969000,9583154,13022180,21686874,32123514,90909384,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42
6310,19557,20356,0.960748673609746,781,-0.16,9888,2242,2630,209,311.666666666667,6.84444444444444,11.7124183006536,4.89,3184030,2074220,1622412,124049,1008903,1936460,2773330,5013849,14706181,35323336,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,43
84428,20562,20562,1,101,0.25,15004,2900,1185,81.9710144927536,196.971014492754,5.35831202046036,12.75945581131,3.98,10273624,4084040,7109620,544078,3889343,20816226,20467362,73649095,191525738,163815405,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,44
31265,18055,18055,1,48,0.24,12232,2266,1110,28,106,4.05555555555556,12.8055555555556,3.59,11865187,3752937,3375022,253092,3960945,18127981,8927095,21239998,108049796,83303771,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,45
44268,17923,17923,1,373,2.06,9265,2513,4608,23.4230769230769,54.9230769230769,6.73076923076923,15.7724358974359,3.58,14435738,6856256,9470119,694616,5035970,33517302,15472761,52045247,74696084,168168901,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,46
11591,18378,18717,0.98188812309665,19,-0.53,7983,3163,4062,16.0971659919028,32.2180899049463,5.01304543409807,10.4183896369966,8.25,4375335,1787489,1776060,175454,5130124,6867839,5791016,8971754,32366924,53344946,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,47
19834,18306,18306,1,271,0.67,10634,1741,1875,73.2307692307692,214.689102564103,6.54769230769231,18.6372756410256,6.4,5527059,2207047,2465723,175103,3529365,6700522,8754351,9193646,35956484,71148659,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,48
11458,16696,15711,1.06269492712113,325,-0.19,6585,4702,3356,51.7391304347826,80.8160535117057,10.3863145181795,15.8547693090027,4.11,17333350,5932661,3732384,214327,2764023,12302505,4934533,13073203,16850361,63004956,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,49
30832,18395,20491,0.897711190278659,3,0.11,8390,2600,1728,57.7163461538462,99.5496794871795,7.11965811965812,12.5801519468186,4.79,3508576,2382095,1801231,126009,2251456,9626151,13894618,14028040,18428159,96682601,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,50
195,18997,18997,1,1333,0.1,14646,73,1650,56.7067307692308,103.873397435897,4.54418125912028,8.18564467375443,6.42,28668554,10806393,6663741,410768,5372396,23577923,13044752,20000039,134360260,144229827,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,51
7794,16521,16903,0.977400461456546,401,-0.3,9327,1252,1778,43.3522727272727,73.6856060606061,8.45584753787879,14.3864030934343,1.27,3570839,1762830,1484720,87510,1391357,2969690,4836811,4798533,23517238,43891617,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,52
7008,18112,18846,0.9610527432877,327,-0.18,5849,4931,3256,27.5961538461538,50.8461538461538,4.47222222222222,7.77698412698413,4.23,7233132,3093845,1422631,85512,4463578,4559687,1382446,1532422,18840483,13224417,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,53
131,19963,19800,1.00823232323232,1139,1.4,14657,1640,1859,61.6145833333333,105.947916666667,6.21936274509804,10.6648965141612,5.28,11279168,4954720,3859204,292321,4851027,17693932,17408754,45698665,40234292,147766245,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,54
4755,20139,20917,0.962805373619544,68,-0.36,9870,3412,6601,16.3333333333333,45.5833333333333,9.07407407407407,25.3240740740741,4.65,20070465,5005204,4352139,324030,2694210,10712491,2009865,3724944,86418503,34441537,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,55
120390,20562,20562,1,113,0.34,14975,2896,1201,48.5625,89.7053571428571,5.08861825980392,9.21256783963586,4.36,11010375,4926111,7609615,584111,7406947,23801624,27975816,86073983,194511136,198705960,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,56
12096,19624,19200,1.02208333333333,294,-0.26,12139,2306,1112,31.5,73.9285714285714,3.57777777777778,9.46349206349206,3.85,6885913,2646274,1775958,144213,3529544,4750869,2519816,4204266,18802462,30883061,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,57
16804,18055,18055,1,50,-0.17,12107,2142,919,91,177.4,4.47647058823529,11.3134453781513,4.93,10967004,3468556,3212767,223688,3891936,16323703,8874492,21760412,106245518,82241954,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,58
23458,17449,19068,0.915093350115377,4,0.37,11225,2244,1450,50.6666666666667,124.595238095238,4.92479674796748,13.1978803716609,6.42,11049193,4736278,3974870,269930,5299364,11187180,6502163,15698215,21322383,74845622,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,59
17625,19600,19600,1,1182,0.06,12878,4044,1139,29.0769230769231,54.5769230769231,5.46845479082321,10.3796390013495,4.11,17333350,5932661,3732384,214327,2764023,12302505,4934533,13073203,94713046,63004956,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,60
52222,16188,18717,0.86488219265908,17,-0.23,8874,2904,2497,12.025641025641,34.525641025641,4.74643874643875,13.7464387464387,3.32,10646208,4142528,3498662,294492,3783715,19763346,13422660,37228217,45262431,135361948,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,61
5738,19812,19812,1,778,-0.75,11169,1134,5533,29.6666666666667,51.8452380952381,7.05604395604396,11.6040816326531,8.87,8789325,3685330,2365961,108794,3202250,4988582,2113882,5528269,24406067,18891222,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,62
134616,18203,18203,1,1004,1.98,14542,1444,963,24.5,51.05,4.41666666666667,9.89166666666667,3.21,18363427,8345131,11642097,824581,5801647,35177211,17360469,70782741,84643061,180645049,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,63
7756,16826,18055,0.93193021323733,168,-0.28,5762,1221,1930,55.875,120.160714285714,6.158203125,13.2430245535714,3.27,7550308,1995001,1466465,102463,1467605,2671347,1983357,2315402,10097641,21766510,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,64
34865,18306,18306,1,254,0.98,10616,1024,1677,64.1666666666667,156.041666666667,3.87333333333333,8.80833333333333,6.4,23146420,8277162,5154594,315941,3602397,19091265,15296940,13495470,48347227,140532864,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,65
3312,13587,15711,0.864808096238304,169,-0.47,6464,2725,1331,53.8461538461538,99.1794871794872,5.63888888888889,10.2865079365079,3.93,4429432,2806172,1431340,94752,2011946,3549556,1688563,1821591,8097412,18726509,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,66
149,17005,19077,0.891387534727683,314,0.24,10279,539,1726,74.6274038461538,131.354676573427,16.4810363247863,25.7295211732712,4.13,3463538,2411351,1932363,125296,2176870,8934418,13945592,14294407,14994547,96829856,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,67
8527,20466,20917,0.97843859062007,131,-0.27,9801,1579,8534,105,215.181818181818,7.12581699346405,17.2634284016637,5.94,19841791,4980807,4364555,320814,2258264,11515605,3258426,6571491,87221617,47614830,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,68
63141,20562,20562,1,100,0.19,15063,2831,1178,22.5,52.5,8.36458333333333,19.4445833333333,4.21,13177324,4717071,7024987,545663,6340888,20728709,19419833,70162019,191438221,150298139,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,69
38142,19596,19596,1,2591,0.06,14573,2234,1158,81.5,148.357142857143,12.0494791666667,20.897693452381,4.38,13027468,6727953,8977253,675180,4611744,29182738,12505879,48004503,206267040,143580035,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,70
11850,15866,19068,0.832074680092301,8,-0.56,11042,2460,1874,28.4375,74.2556818181818,7.109375,18.5639204545455,6.57,7171039,2507952,3079999,182362,3800724,5896265,4355419,7128484,16031468,42759600,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,71
93,18997,18997,1,1279,-0.06,14646,297,1366,83.7139423076923,126.744245337995,10.7598824786325,16.9955727143227,6.86,27106036,8437389,5288425,299239,3871785,15131515,8335537,7474238,125913852,89800033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,72
133,18500,16903,1.0944802697746,791,0.71,10347,2120,3585,52.6988636363636,104.653409090909,7.63731060606061,15.4652326839827,1.36,8984963,3448223,4304030,247329,2605579,9314685,9747931,28110072,29862233,80608566,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,73
12996,19545,19393,1.0078378796473,690,0.07,12616,2878,2263,47.8125,101.703409090909,6.39503761574074,12.8263507470539,1.77,4275234,2084285,1583979,129092,1071860,3716948,2542917,4167527,26213449,32839845,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,74
188,18418,18418,1,1092,0.87,12760,1684,2293,50.0769230769231,130.457875457875,4.71805294976027,13.0487131271103,3.39,16624614,5964442,4478358,327574,5832982,25178266,13020220,31380373,121027600,127008295,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,75
314,18624,18624,1,1619,2.25,14613,846,1837,47.4545454545455,93.3434343434343,7.91354723707665,14.0874760678682,5.28,11268739,4899238,3737701,281501,4854869,17138915,14779976,36002313,102610861,124663135,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,76
24735,19600,19600,1,1201,0.17,13250,3837,931,20.4545454545455,37.4360269360269,8.85267145135566,16.52915239136,9.05,18454749,5578136,3719118,218009,4428385,19178850,5792873,20401464,116385082,75137779,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,77
11477,19812,19812,1,892,-0.64,11471,1094,5202,17.4545454545455,31.7138047138047,7.16083916083916,13.0329505885061,9.2,7833257,2925624,2398360,140422,2710938,5765854,3855645,10776889,40313994,43399791,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,78
40066,17583,17583,1,797,1.05,9855,2331,2176,33.5238095238095,106.352092352092,5.24867724867725,16.7974987974988,3.87,16273088,6634082,8875770,650690,5010642,29788207,10545737,46695034,57491216,136426024,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,79
67,19071,20356,0.936873649046964,820,-0.02,9826,2277,2953,104.727272727273,199.356902356902,7.10730837789661,16.2305230958826,3.67,3311424,1731193,1669899,113615,1449025,2859941,3154326,5578395,13943726,41907328,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,80
21365,16579,15711,1.05524791547324,310,-0.03,6741,5003,2743,70,150.5,7.09722222222222,14.9236111111111,5.35,3305386,2685974,1779792,126943,1733689,6802066,10951980,11955861,13869217,83446687,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,81
319,20562,20562,1,135,0.99,14973,2626,1435,56.6447368421053,84.9383876357561,12.296692251462,20.3487204701569,2.14,10402451,3982744,7017676,510517,4256394,21017221,19448832,75634600,161587051,142509328,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,82
8602,20244,19200,1.054375,469,0.08,12009,2228,2242,13.8925438596491,26.8528613199666,5.47855750487329,11.5733546830038,4.45,6348679,2343171,1786903,110681,5806616,4188868,4982649,6231517,28458075,49051783,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,83
23242,18055,18055,1,65,0.3,11923,3000,895,48.6111111111111,88.2222222222222,7.24392361111111,14.4257192460317,4.34,10962353,3553536,3006314,212373,3885200,16981855,9891981,19421723,99612544,86118890,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,84
42556,18997,18997,1,1585,0.32,14648,494,1297,23.9166666666667,56.1166666666667,5.05555555555556,12.0066666666667,6.38,23146125,8285664,5445488,341070,5865967,20253870,14712517,19628846,162424448,173441744,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85
56117,18203,18203,1,920,0.36,14595,1577,720,33.7037037037037,62.4537037037037,6.48148148148148,12.9160052910053,2.35,9245647,3366391,3969444,233869,2624023,7492066,5909530,26396196,39063932,55079662,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86
7038,18918,18846,1.00382043935053,423,0.12,5860,5978,3819,25.5723905723906,50.2973905723906,5.37355031799476,9.79785587355032,4.98,21130780,5689368,4146577,287905,3264487,20198490,3862647,5295618,41890320,54756479,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,87
36,20013,19393,1.03197029856134,814,0.39,12795,2856,2549,63.0448717948718,118.244871794872,7.03822412155746,16.7919278252612,6.62,6300392,2506066,2852161,194166,3427388,7718144,5412719,16543550,38239261,53494348,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,88
13136,18306,18306,1,296,0.58,10617,1605,1904,134.555555555556,187.455555555556,8.81092592592593,13.7151967592593,1.55,3295690,1718258,1139781,105361,1175825,4533737,6528937,6670650,25550636,58957775,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,89
16711,18268,20491,0.891513347323215,1,0,8253,2286,880,133.4,265.7,9.52069716775599,16.0326797385621,4.33,3357453,1702212,1539047,114513,1523184,3310439,2891788,4834076,16435552,41096060,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,90
29682,19596,19596,1,2293,0.35,14439,2650,784,30.6666666666667,55.2494369369369,7.66666666666667,14.8308933933934,3.39,12725700,6542306,9106453,696890,7021492,30688002,12185439,51473194,184977037,151936648,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,91
20874,19746,19600,1.00744897959184,1234,0.33,13028,3996,1252,16.1,36.5475675675676,7.01937134502924,15.9405543701596,5.16,34063046,8791611,6437329,404243,4007913,32415995,7877521,22447818,129622227,105337666,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,92
12800,11360,17583,0.64607859864642,344,-0.55,9436,927,1336,44.275,91.5016666666667,7.475,15.7168518518519,2.47,8499664,2083237,1928458,117714,1890257,5968280,3722818,5760048,33671289,41541566,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,93
53199,18418,18418,1,808,0.79,12857,1678,2199,82.225,131.551666666667,5.32147696476965,8.98683378500452,1.66,14440342,5903981,5438657,359926,4150056,15332907,9667945,39715338,92009290,101222458,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,94
315,19474,19077,1.02081039995806,641,2,10570,1059,4090,17.3133333333333,28.2508333333333,9.21018518518518,15.0404803240741,2.69,10455753,4053673,6964416,527876,4305006,21067528,19413919,76377253,31988767,143666094,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,95
35577,18997,18997,1,1473,-0.01,14650,382,1359,20.58,41.4341666666667,5.20488888888889,10.3965555555556,8.19,25964102,8893267,5243543,303745,5874573,17631812,13278153,14862526,159802390,159964459,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,96
22918,16050,17794,0.90198943464089,232,-0.36,9919,918,403,22.7530434782609,58.9197101449275,3.14633655394525,8.65154488727858,1.77,4279211,2061323,1565391,128221,1069260,6133975,5216137,13486651,14268880,53239458,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,97
6965,16517,18846,0.876419399342035,223,-0.36,5761,2953,1986,21.2333333333333,45.7333333333333,4.23888888888889,8.13333333333333,8.87,5522483,2475893,1428366,101671,3684959,6961345,1777999,3249264,28653175,24556592,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,98
8624,17005,18055,0.941844364441983,224,-0.21,5889,3361,2525,49.9373913043478,93.1040579710145,7.39127717391304,13.7532563405797,7.37,5773901,2361276,2573436,161707,3381968,4540837,2987844,7249876,22370032,36124406,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,99
