Season,Home,Away,Date,Attendance,Capacity,Total Full Season Equivalent Non Suite Tickets,Group Non Suite Tickets,Single Game Total Non Suite Tickets,Total Non Suite Tickets
2017-18,MEM,SAC,2018-04-06,16527,17794,10291,2611,480,13382
2017-18,NYK,MIA,2018-04-06,19569,19812,11322,769,5438,17529
2017-18,ORL,CHA,2018-04-06,17018,18846,6010,4573,2987,13570
2017-18,PHI,CLE,2018-04-06,20769,20478,15179,2335,1131,18645
2017-18,PHX,NOP,2018-04-06,18055,18055,5861,5695,909,12465
2017-18,TOR,IND,2018-04-06,19924,19800,14656,1766,1841,18263
2017-18,WAS,ATL,2018-04-06,19557,20356,9888,2242,2630,14760
2017-18,CLE,WAS,2018-04-05,20562,20562,15004,2900,1185,19089
2017-18,DEN,MIN,2018-04-05,16415,19520,5693,2455,3173,11321
2017-18,HOU,POR,2018-04-05,18055,18055,12232,2266,1110,15608
2017-18,IND,GSW,2018-04-05,17923,17923,9265,2513,4608,16386
2017-18,MIL,BRK,2018-04-05,18378,18717,7983,3163,4062,15208
2017-18,UTA,LAC,2018-04-05,18306,18306,10634,1741,1875,14250
2017-18,ATL,MIA,2018-04-04,16696,15711,6585,4702,3356,14643
2017-18,DET,PHI,2018-04-04,18395,20491,8390,2600,1728,12718
2017-18,LAL,SAS,2018-04-04,18997,18997,14646,73,1650,16369
2017-18,NOP,MEM,2018-04-04,16521,16903,9327,1252,1778,12357
2017-18,ORL,DAL,2018-04-04,18112,18846,5849,4931,3256,14036
2017-18,TOR,BOS,2018-04-04,19963,19800,14657,1640,1859,18156
2017-18,CHI,CHA,2018-04-03,20139,20917,9870,3412,6601,19883
2017-18,CLE,TOR,2018-04-03,20562,20562,14975,2896,1201,19072
2017-18,DAL,POR,2018-04-03,19624,19200,12139,2306,1112,15557
2017-18,DEN,IND,2018-04-03,14743,19520,5479,1012,1020,7511
2017-18,HOU,WAS,2018-04-03,18055,18055,12107,2142,919,15168
2017-18,LAC,SAS,2018-04-03,17449,19068,11225,2244,1450,14919
2017-18,MIA,ATL,2018-04-03,19600,19600,12878,4044,1139,18061
2017-18,MIL,BOS,2018-04-03,16188,18717,8874,2904,2497,14275
2017-18,NYK,ORL,2018-04-03,19812,19812,11169,1134,5533,17836
2017-18,OKC,GSW,2018-04-03,18203,18203,14542,1444,963,16949
2017-18,PHI,BRK,2018-04-03,20710,20478,15357,2384,403,18144
2017-18,PHX,SAC,2018-04-03,16826,18055,5762,1221,1930,8913
2017-18,UTA,LAL,2018-04-03,18306,18306,10616,1024,1677,13317
2017-18,ATL,ORL,2018-04-01,13587,15711,6464,2725,1331,10520
2017-18,BRK,DET,2018-04-01,16097,17732,8858,2230,2867,13955
2017-18,CHA,PHI,2018-04-01,17005,19077,10279,539,1726,12544
2017-18,CHI,WAS,2018-04-01,20466,20917,9801,1579,8534,19914
2017-18,CLE,DAL,2018-04-01,20562,20562,15063,2831,1178,19072
2017-18,DEN,MIL,2018-04-01,19520,19520,6097,4343,2847,13287
2017-18,GSW,PHX,2018-04-01,19596,19596,14573,2234,1158,17965
2017-18,LAC,IND,2018-04-01,15866,19068,11042,2460,1874,15376
2017-18,LAL,SAC,2018-04-01,18997,18997,14646,297,1366,16309
2017-18,MIN,UTA,2018-04-01,18978,18978,8362,4147,2361,14870
2017-18,NOP,OKC,2018-04-01,18500,16903,10347,2120,3585,16052
2017-18,POR,MEM,2018-04-01,19545,19393,12616,2878,2263,17757
2017-18,SAS,HOU,2018-04-01,18418,18418,12760,1684,2293,16737
2017-18,BOS,TOR,2018-03-31,18624,18624,14613,846,1837,17296
2017-18,MIA,BRK,2018-03-31,19600,19600,13250,3837,931,18018
2017-18,NYK,DET,2018-03-31,19812,19812,11471,1094,5202,17767
2017-18,SAC,GSW,2018-03-31,17583,17583,9855,2331,2176,14362
2017-18,WAS,CHA,2018-03-31,19071,20356,9826,2277,2953,15056
2017-18,ATL,PHI,2018-03-30,16579,15711,6741,5003,2743,14487
2017-18,CLE,NOP,2018-03-30,20562,20562,14973,2626,1435,19034
2017-18,DAL,MIN,2018-03-30,20244,19200,12009,2228,2242,16479
2017-18,HOU,PHX,2018-03-30,18055,18055,11923,3000,895,15818
2017-18,LAL,MIL,2018-03-30,18997,18997,14648,494,1297,16439
2017-18,OKC,DEN,2018-03-30,18203,18203,14595,1577,720,16892
2017-18,ORL,CHI,2018-03-30,18918,18846,5860,5978,3819,15657
2017-18,POR,LAC,2018-03-30,20013,19393,12795,2856,2549,18200
2017-18,UTA,MEM,2018-03-30,18306,18306,10617,1605,1904,14126
2017-18,DET,WAS,2018-03-29,18268,20491,8253,2286,880,11419
2017-18,GSW,MIL,2018-03-29,19596,19596,14439,2650,784,17873
2017-18,MIA,CHI,2018-03-29,19746,19600,13028,3996,1252,18276
2017-18,SAC,IND,2018-03-29,11360,17583,9436,927,1336,11699
2017-18,SAS,OKC,2018-03-29,18418,18418,12857,1678,2199,16734
2017-18,CHA,CLE,2018-03-28,19474,19077,10570,1059,4090,15719
2017-18,LAL,DAL,2018-03-28,18997,18997,14650,382,1359,16391
2017-18,MEM,POR,2018-03-28,16050,17794,9919,918,403,11240
2017-18,MIN,ATL,2018-03-28,16183,18978,7673,2786,793,11252
2017-18,ORL,BRK,2018-03-28,16517,18846,5761,2953,1986,10700
2017-18,PHI,NYK,2018-03-28,20655,20478,15327,1753,880,17960
2017-18,PHX,LAC,2018-03-28,17005,18055,5889,3361,2525,11775
2017-18,UTA,BOS,2018-03-28,18306,18306,10686,1066,373,12125
2017-18,GSW,IND,2018-03-27,19596,19596,14520,2440,688,17648
2017-18,HOU,CHI,2018-03-27,18055,18055,12402,1882,1072,15356
2017-18,LAC,MIL,2018-03-27,19068,19068,11232,3268,1591,16091
2017-18,MIA,CLE,2018-03-27,20093,19600,13445,3665,1674,18784
2017-18,NOP,POR,2018-03-27,15426,16903,9748,1385,1869,13002
2017-18,TOR,DEN,2018-03-27,19800,19800,14558,1825,1911,18294
2017-18,WAS,SAS,2018-03-27,19588,20356,10342,2726,2736,15804
2017-18,CHA,NYK,2018-03-26,14487,19077,9967,899,650,11516
2017-18,DET,LAL,2018-03-26,18718,20491,8605,4937,2162,15704
2017-18,MIN,MEM,2018-03-26,16290,18978,7876,2835,809,11520
2017-18,PHI,DEN,2018-03-26,20585,20478,15381,2307,498,18186
2017-18,PHX,BOS,2018-03-26,18055,18055,7064,2291,3683,13038
2017-18,BRK,CLE,2018-03-25,17732,17732,9202,2952,3644,15798
2017-18,GSW,UTA,2018-03-25,19596,19596,14009,2841,1058,17908
2017-18,HOU,ATL,2018-03-25,18055,18055,11652,2430,1192,15274
2017-18,IND,MIA,2018-03-25,17923,17923,7193,4212,3128,14533
2017-18,MIL,SAS,2018-03-25,18717,18717,8666,3485,3465,15616
2017-18,OKC,POR,2018-03-25,18203,18203,14581,1787,562,16930
2017-18,SAC,BOS,2018-03-25,17583,17583,9916,2303,3052,15271
2017-18,TOR,LAC,2018-03-25,19800,19800,14702,1603,1765,18070
2017-18,WAS,NYK,2018-03-25,18884,20356,10480,2068,1693,14241
2017-18,DAL,CHA,2018-03-24,20085,19200,12492,2725,1470,16687
2017-18,DET,CHI,2018-03-24,19139,20491,8625,6265,1355,16245
2017-18,HOU,NOP,2018-03-24,18055,18055,12236,2456,1039,15731
2017-18,MEM,LAL,2018-03-24,18119,17794,10150,3644,2479,16273
2017-18,ORL,PHX,2018-03-24,17393,18846,5816,5813,2264,13893
2017-18,PHI,MIN,2018-03-24,20668,20478,15262,1963,1122,18347
2017-18,CHI,MIL,2018-03-23,21698,20917,9860,4508,5366,19734
2017-18,CLE,PHX,2018-03-23,20562,20562,15136,3129,788,19053
2017-18,GSW,ATL,2018-03-23,19596,19596,13997,2831,1054,17882
2017-18,IND,LAC,2018-03-23,17923,17923,7685,5171,2363,15219
2017-18,NYK,MIN,2018-03-23,18914,19812,11611,1084,4123,16818
2017-18,OKC,MIA,2018-03-23,18203,18203,14591,1641,779,17011
2017-18,POR,BOS,2018-03-23,19575,19393,12665,1874,3125,17664
2017-18,SAS,UTA,2018-03-23,18418,18418,13211,2368,985,16564
2017-18,TOR,BRK,2018-03-23,19800,19800,14554,1684,1930,18168
2017-18,WAS,DEN,2018-03-23,19016,20356,9830,2120,2101,14051
2017-18,CHA,MEM,2018-03-22,15033,19077,9837,1585,281,11703
2017-18,DAL,UTA,2018-03-22,19725,19200,12161,1829,1512,15502
2017-18,HOU,DET,2018-03-22,18055,18055,11891,2247,1221,15359
2017-18,NOP,LAL,2018-03-22,18037,16903,9616,1675,2033,13324
2017-18,ORL,PHI,2018-03-22,17881,18846,6656,3549,3386,13591
2017-18,BRK,CHA,2018-03-21,10231,17732,8596,929,596,10121
2017-18,CHI,DEN,2018-03-21,20671,20917,9656,4624,5255,19535
2017-18,CLE,TOR,2018-03-21,20562,20562,15013,2167,1701,18881
2017-18,MIA,NYK,2018-03-21,19600,19600,13081,3773,1333,18187
2017-18,MIL,LAC,2018-03-21,17916,18717,8378,3730,3343,15451
2017-18,NOP,IND,2018-03-21,14148,16903,8961,1033,871,10865
2017-18,PHI,MEM,2018-03-21,10411,20478,15176,2538,331,18045
2017-18,SAS,WAS,2018-03-21,18418,18418,12850,2321,692,15863
2017-18,BOS,OKC,2018-03-20,18624,18624,14427,969,1798,17194
2017-18,MIN,LAC,2018-03-20,16351,18978,7805,2478,577,10860
2017-18,NOP,DAL,2018-03-20,14484,16903,9325,1257,1069,11651
2017-18,ORL,TOR,2018-03-20,16228,18846,5982,2191,3164,11337
2017-18,PHX,DET,2018-03-20,17400,18055,5923,2630,2324,10877
2017-18,POR,HOU,2018-03-20,20012,19393,12337,1509,4233,18079
2017-18,UTA,ATL,2018-03-20,18306,18306,10512,2053,3533,16098
2017-18,BRK,MEM,2018-03-19,12856,17732,8685,1375,379,10439
2017-18,CLE,MIL,2018-03-19,20562,20562,15134,2930,972,19036
2017-18,IND,LAL,2018-03-19,16603,17923,8529,1781,2130,12440
2017-18,MIA,DEN,2018-03-19,19600,19600,13166,3793,1052,18011
2017-18,NYK,CHI,2018-03-19,18835,19812,11142,709,4919,16770
2017-18,PHI,CHA,2018-03-19,20530,20478,15329,2224,253,17806
2017-18,SAC,DET,2018-03-19,17583,17583,9605,1536,1126,12267
2017-18,SAS,GSW,2018-03-19,18418,18418,12823,1172,2231,16226
2017-18,LAC,POR,2018-03-18,17776,19068,11136,3055,1811,16002
2017-18,MIN,HOU,2018-03-18,18978,18978,9000,4018,2321,15339
2017-18,NOP,BOS,2018-03-18,18277,16903,10100,3425,2491,16016
2017-18,TOR,OKC,2018-03-18,19800,19800,14753,1200,2285,18238
2017-18,BRK,DAL,2018-03-17,13877,17732,8435,2943,976,12354
2017-18,CHI,CLE,2018-03-17,22983,20917,9789,3733,5776,19298
2017-18,MEM,DEN,2018-03-17,16501,17794,10230,1596,995,12821
2017-18,MIL,ATL,2018-03-17,18717,18717,8424,3535,3660,15619
2017-18,NOP,HOU,2018-03-17,18495,16903,9715,3565,2989,16269
2017-18,NYK,CHA,2018-03-17,17760,19812,11335,920,3432,15687
2017-18,PHX,GSW,2018-03-17,18055,18055,6380,3728,4071,14179
2017-18,POR,DET,2018-03-17,19727,19393,12750,2699,2275,17724
2017-18,SAS,MIN,2018-03-17,18418,18418,12956,2101,1500,16557
2017-18,UTA,SAC,2018-03-17,18306,18306,10582,1563,3736,15881
2017-18,WAS,IND,2018-03-17,18249,20356,9847,1558,3227,14632
2017-18,GSW,SAC,2018-03-16,19596,19596,14024,2789,1005,17818
2017-18,LAL,MIA,2018-03-16,18997,18997,14652,309,1501,16462
2017-18,OKC,LAC,2018-03-16,18203,18203,14561,1706,685,16952
2017-18,ORL,BOS,2018-03-16,18981,18846,6650,4064,5207,15921
2017-18,PHI,BRK,2018-03-16,20666,20478,15260,2451,470,18181
2017-18,TOR,DAL,2018-03-16,19800,19800,14664,1281,2336,18281
2017-18,ATL,CHA,2018-03-15,14486,15711,6300,3122,1016,10438
2017-18,DEN,DET,2018-03-15,18697,19520,5549,6096,1888,13533
2017-18,HOU,LAC,2018-03-15,18055,18055,11689,1821,2472,15982
2017-18,IND,TOR,2018-03-15,17923,17923,7399,3243,2801,13443
2017-18,MEM,CHI,2018-03-15,16511,17794,9921,656,754,11331
2017-18,NYK,PHI,2018-03-15,18894,19812,11562,1345,4097,17004
2017-18,POR,CLE,2018-03-15,19806,19393,12788,1675,3578,18041
2017-18,SAS,NOP,2018-03-15,18418,18418,12827,2263,1588,16678
2017-18,UTA,PHX,2018-03-15,18306,18306,10527,1465,3443,15435
2017-18,BOS,WAS,2018-03-14,18624,18624,14584,1247,1342,17173
2017-18,GSW,LAL,2018-03-14,19596,19596,15011,1717,1272,18000
2017-18,ORL,MIL,2018-03-14,17713,18846,6410,4067,2785,13262
2017-18,SAC,MIA,2018-03-14,17583,17583,9820,1606,1022,12448
2017-18,ATL,OKC,2018-03-13,16739,15711,7161,4254,3550,14965
2017-18,BRK,TOR,2018-03-13,16654,17732,9658,2983,1423,14064
2017-18,CHI,LAC,2018-03-13,20912,20917,9859,4040,5885,19784
2017-18,LAL,DEN,2018-03-13,18997,18997,14650,400,1302,16352
2017-18,NOP,CHA,2018-03-13,15507,16903,9544,1764,1573,12881
2017-18,NYK,DAL,2018-03-13,18597,19812,11177,1100,4090,16367
2017-18,PHI,IND,2018-03-13,20531,20478,15200,2396,524,18120
2017-18,PHX,CLE,2018-03-13,18055,18055,6672,2907,5014,14593
2017-18,SAS,ORL,2018-03-13,18418,18418,12772,2177,1571,16520
2017-18,UTA,DET,2018-03-13,18306,18306,10554,1913,3057,15524
2017-18,WAS,MIN,2018-03-13,17078,20356,10855,1221,1413,13489
2017-18,HOU,SAS,2018-03-12,18092,18055,11763,2537,1468,15768
2017-18,MEM,MIL,2018-03-12,14112,17794,9946,1082,758,11786
2017-18,OKC,SAC,2018-03-12,18203,18203,14598,1790,452,16840
2017-18,POR,MIA,2018-03-12,19786,19393,12631,3118,1749,17498
2017-18,ATL,CHI,2018-03-11,15266,15711,6471,4506,2004,12981
2017-18,BOS,IND,2018-03-11,18624,18624,14561,873,1748,17182
2017-18,BRK,PHI,2018-03-11,16901,17732,9011,1689,2405,13105
2017-18,DAL,HOU,2018-03-11,20394,19200,12047,1007,3671,16725
2017-18,DEN,SAC,2018-03-11,19520,19520,5698,4488,2370,12556
2017-18,LAL,CLE,2018-03-11,18997,18997,14654,100,1679,16433
2017-18,MIN,GSW,2018-03-11,18978,18978,8911,3698,3562,16171
2017-18,NOP,UTA,2018-03-11,18062,16903,10093,2761,1656,14510
2017-18,NYK,TOR,2018-03-11,19812,19812,11591,1678,4459,17728
2017-18,CHA,PHX,2018-03-10,19336,19077,10261,3409,2188,15858
2017-18,DAL,MEM,2018-03-10,19579,19200,12465,1433,1790,15688
2017-18,LAC,ORL,2018-03-10,16561,19068,11035,3167,900,15102
2017-18,MIA,WAS,2018-03-10,19689,19600,13277,3376,1559,18212
2017-18,OKC,SAS,2018-03-10,18203,18203,14625,1558,738,16921
2017-18,DEN,LAL,2018-03-09,19807,19520,6291,6627,4064,16982
2017-18,DET,CHI,2018-03-09,17406,20491,8463,3842,1471,13776
2017-18,IND,ATL,2018-03-09,17923,17923,7047,5945,1831,14823
2017-18,LAC,CLE,2018-03-09,19130,19068,11324,2101,2715,16140
2017-18,MEM,UTA,2018-03-09,15622,17794,10268,889,340,11497
2017-18,MIL,NYK,2018-03-09,18717,18717,7976,3555,2700,14231
2017-18,NOP,WAS,2018-03-09,18143,16903,10430,3020,2186,15636
2017-18,POR,GSW,2018-03-09,19487,19393,12524,962,3707,17193
2017-18,SAC,ORL,2018-03-09,17583,17583,9739,1733,1246,12718
2017-18,TOR,HOU,2018-03-09,20131,19800,14601,1189,2473,18263
2017-18,CHA,BRK,2018-03-08,14173,19077,9674,348,265,10287
2017-18,GSW,SAS,2018-03-08,19596,19596,14603,1490,1504,17597
2017-18,MIA,PHI,2018-03-08,19600,19600,13198,3817,1045,18060
2017-18,MIN,BOS,2018-03-08,18978,18978,9328,2042,2302,13672
2017-18,OKC,PHX,2018-03-08,18203,18203,14633,1660,466,16759
2017-18,CHI,MEM,2018-03-07,20210,20917,9767,3519,6440,19726
2017-18,DEN,CLE,2018-03-07,20062,19520,8200,4219,5160,17579
2017-18,DET,TOR,2018-03-07,17769,20491,8317,2570,1557,12444
2017-18,IND,UTA,2018-03-07,16432,17923,7242,1420,1187,9849
2017-18,LAL,ORL,2018-03-07,18997,18997,14650,314,1237,16201
2017-18,MIL,HOU,2018-03-07,17195,18717,8369,2175,3310,13854
2017-18,SAC,NOP,2018-03-07,17583,17583,9717,865,1127,11709
2017-18,CHA,PHI,2018-03-06,15600,19077,10232,627,600,11459
2017-18,DAL,DEN,2018-03-06,19504,19200,11734,3423,915,16072
2017-18,GSW,BRK,2018-03-06,19596,19596,14504,2430,784,17718
2017-18,LAC,NOP,2018-03-06,16412,19068,11412,2576,599,14587
2017-18,OKC,HOU,2018-03-06,18203,18203,14709,1590,601,16900
2017-18,POR,NYK,2018-03-06,19393,19393,12396,2410,1564,16370
2017-18,TOR,ATL,2018-03-06,19800,19800,14550,1563,1928,18041
2017-18,WAS,MIA,2018-03-06,16582,20356,9798,985,1632,12415
2017-18,CHI,BOS,2018-03-05,21286,20917,9694,5119,4584,19397
2017-18,CLE,DET,2018-03-05,20562,20562,15029,2606,1495,19130
2017-18,IND,MIL,2018-03-05,15874,17923,7261,1044,1687,9992
2017-18,LAL,POR,2018-03-05,18997,18997,14654,271,1377,16302
2017-18,MIA,PHX,2018-03-05,19600,19600,12980,3880,852,17712
2017-18,SAS,MEM,2018-03-05,18418,18418,12891,2430,618,15939
2017-18,UTA,ORL,2018-03-05,18306,18306,10484,1038,3688,15210
2017-18,ATL,PHX,2018-03-04,15166,15711,6644,3938,1719,12301
2017-18,DAL,NOP,2018-03-04,19798,19200,12510,1450,2216,16176
2017-18,LAC,BRK,2018-03-04,16384,19068,10889,2516,1215,14620
2017-18,MIL,PHI,2018-03-04,15587,18717,8516,1655,1923,12094
2017-18,SAC,NYK,2018-03-04,17583,17583,9753,1190,1265,12208
2017-18,TOR,CHA,2018-03-04,19800,19800,14528,1541,2047,18116
2017-18,WAS,IND,2018-03-04,16646,20356,9753,1346,1396,12495
2017-18,CLE,DEN,2018-03-03,20562,20562,15144,2728,1170,19042
2017-18,HOU,BOS,2018-03-03,18476,18055,12510,2022,1893,16425
2017-18,MIA,DET,2018-03-03,19600,19600,13222,3961,1047,18230
2017-18,ORL,MEM,2018-03-03,17875,18846,5900,5866,2016,13782
2017-18,POR,OKC,2018-03-03,20063,19393,12530,1580,3709,17819
2017-18,SAC,UTA,2018-03-03,17583,17583,9885,1839,2295,14019
2017-18,SAS,LAL,2018-03-03,18557,18418,12903,3122,1076,17101
2017-18,ATL,GSW,2018-03-02,16728,15711,7143,3785,4549,15477
2017-18,CHI,DAL,2018-03-02,21017,20917,9492,6246,2918,18656
2017-18,LAC,NYK,2018-03-02,17190,19068,11222,2352,1288,14862
2017-18,MEM,DEN,2018-03-02,16421,17794,10068,1797,451,12316
2017-18,MIL,IND,2018-03-02,17217,18717,8205,2676,2525,13406
2017-18,ORL,DET,2018-03-02,17223,18846,5814,6252,1705,13771
2017-18,PHI,CHA,2018-03-02,20487,20478,15405,2319,352,18076
2017-18,PHX,OKC,2018-03-02,18055,18055,6580,2911,2846,12337
2017-18,UTA,MIN,2018-03-02,18306,18306,10611,1544,3214,15369
2017-18,WAS,TOR,2018-03-02,18631,20356,10538,1579,2935,15052
2017-18,CLE,PHI,2018-03-01,20562,20562,14980,2837,1260,19077
2017-18,MIA,LAL,2018-03-01,19600,19600,13299,3862,949,18110
2017-18,POR,MIN,2018-03-01,19533,19393,12685,3391,1258,17334
2017-18,SAC,BRK,2018-03-01,17583,17583,9604,1388,1658,12650
2017-18,ATL,IND,2018-02-28,13316,15711,6217,2874,658,9749
2017-18,BOS,CHA,2018-02-28,18624,18624,14398,1379,1391,17168
2017-18,DAL,OKC,2018-02-28,20202,19200,11791,1798,3120,16709
2017-18,DET,MIL,2018-02-28,16146,20491,8387,1622,1017,11026
2017-18,LAC,HOU,2018-02-28,19068,19068,11508,2052,1358,14918
2017-18,MEM,PHX,2018-02-28,13484,17794,9926,695,223,10844
2017-18,ORL,TOR,2018-02-28,17328,18846,5939,4567,2651,13157
2017-18,SAS,NOP,2018-02-28,18418,18418,12851,2605,689,16145
2017-18,WAS,GSW,2018-02-28,20356,20356,11002,699,2583,14284
2017-18,CHA,CHI,2018-02-27,14521,19077,10008,1777,419,12204
2017-18,CLE,BRK,2018-02-27,20562,20562,15075,2641,1372,19088
2017-18,DEN,LAC,2018-02-27,15004,19520,5595,1502,465,7562
2017-18,MIA,PHI,2018-02-27,19600,19600,13238,3288,1362,17888
2017-18,MIL,WAS,2018-02-27,16093,18717,7941,2113,3001,13055
2017-18,POR,SAC,2018-02-27,19468,19393,12756,3292,1209,17257
2017-18,ATL,LAL,2018-02-26,16328,15711,6895,4012,3560,14467
2017-18,BOS,MEM,2018-02-26,18624,18624,14433,1355,1353,17141
2017-18,BRK,CHI,2018-02-26,15081,17732,8443,1576,2639,12658
2017-18,DAL,IND,2018-02-26,19536,19200,12149,2631,1249,16029
2017-18,NOP,PHX,2018-02-26,14302,16903,9094,1198,1067,11359
2017-18,NYK,GSW,2018-02-26,19812,19812,11788,699,5309,17796
2017-18,OKC,ORL,2018-02-26,18203,18203,14593,1437,528,16558
2017-18,SAC,MIN,2018-02-26,17583,17583,9832,1460,1303,12595
2017-18,TOR,DET,2018-02-26,19800,19800,14693,1748,1805,18246
2017-18,UTA,HOU,2018-02-26,18306,18306,10922,638,3673,15233
2017-18,CHA,DET,2018-02-25,17894,19077,10095,1704,1832,13631
2017-18,CLE,SAS,2018-02-25,20562,20562,15025,2339,1566,18930
2017-18,DEN,HOU,2018-02-25,20044,19520,7668,5449,3445,16562
2017-18,MIL,NOP,2018-02-25,18717,18717,8294,4901,3140,16335
2017-18,WAS,PHI,2018-02-25,17180,20356,10208,1408,2050,13666
2017-18,GSW,OKC,2018-02-24,19596,19596,14882,1411,1751,18044
2017-18,MIA,MEM,2018-02-24,19600,19600,13716,3210,1309,18235
2017-18,MIN,CHI,2018-02-24,18978,18978,9746,2949,2374,15069
2017-18,NYK,BOS,2018-02-24,19812,19812,11827,1844,4174,17845
2017-18,PHI,ORL,2018-02-24,20594,20478,15299,2224,789,18312
2017-18,PHX,POR,2018-02-24,17112,18055,5773,2126,2775,10674
2017-18,SAC,LAL,2018-02-24,17583,17583,9958,1765,3885,15608
2017-18,UTA,DAL,2018-02-24,18306,18306,10540,1312,3917,15769
2017-18,DEN,SAS,2018-02-23,20027,19520,6261,7192,2954,16407
2017-18,DET,BOS,2018-02-23,20491,20491,9069,652,2413,12134
2017-18,HOU,MIN,2018-02-23,18055,18055,11903,2744,1222,15869
2017-18,IND,ATL,2018-02-23,17923,17923,7396,4928,2257,14581
2017-18,LAL,DAL,2018-02-23,18997,18997,14657,537,1238,16432
2017-18,MEM,CLE,2018-02-23,18119,17794,10360,2928,3149,16437
2017-18,NOP,MIA,2018-02-23,17751,16903,10266,2302,1891,14459
2017-18,PHX,LAC,2018-02-23,17126,18055,6774,3663,1795,12232
2017-18,TOR,MIL,2018-02-23,20047,19800,14759,1339,2200,18298
2017-18,UTA,POR,2018-02-23,18306,18306,10683,1123,4008,15814
2017-18,WAS,CHA,2018-02-23,17824,20356,9889,2206,1573,13668
2017-18,CHA,BRK,2018-02-22,14112,19077,9859,411,470,10740
2017-18,CHI,PHI,2018-02-22,21312,20917,9681,4590,5200,19471
2017-18,CLE,WAS,2018-02-22,20562,20562,15074,2735,1199,19008
2017-18,GSW,LAC,2018-02-22,19596,19596,14702,2091,1037,17830
2017-18,ORL,NYK,2018-02-22,18846,18846,6269,5240,4079,15588
2017-18,SAC,OKC,2018-02-22,17583,17583,9844,2347,1686,13877
2017-18,MIL,DEN,2018-02-15,15486,18717,8211,1053,1363,10627
2017-18,MIN,LAL,2018-02-15,17534,18978,8210,2154,1646,12010
2017-18,BOS,LAC,2018-02-14,18624,18624,14550,1009,1489,17048
2017-18,BRK,IND,2018-02-14,13159,17732,8563,1315,1059,10937
2017-18,CHI,TOR,2018-02-14,21006,20917,9505,4955,4445,18905
2017-18,DET,ATL,2018-02-14,15849,20491,8263,916,901,10080
