Season,Home,Away,Date,Num_Secondary_Transactions,Avg_Markup_Over_Full_STM_Price
2017-18,UTA,LAC,2018-04-05,271,67.3%
2017-18,ATL,MIA,2018-04-04,325,-18.7%
2017-18,DET,PHI,2018-04-04,3,11.2%
2017-18,LAL,SAS,2018-04-04,1333,10.2%
2017-18,NOP,MEM,2018-04-04,401,-30.1%
2017-18,ORL,DAL,2018-04-04,327,-17.6%
2017-18,TOR,BOS,2018-04-04,1139,140.1%
2017-18,CHI,CHA,2018-04-03,68,-35.5%
2017-18,CLE,TOR,2018-04-03,113,33.8%
2017-18,DAL,POR,2018-04-03,294,-26.1%
2017-18,HOU,WAS,2018-04-03,50,-16.9%
2017-18,LAC,SAS,2018-04-03,4,37.4%
2017-18,MIA,ATL,2018-04-03,1182,5.6%
2017-18,MIL,BOS,2018-04-03,17,-23.3%
2017-18,NYK,ORL,2018-04-03,778,-74.5%
2017-18,OKC,GSW,2018-04-03,1004,198.4%
2017-18,PHX,SAC,2018-04-03,168,-28.4%
2017-18,UTA,LAL,2018-04-03,254,97.8%
2017-18,ATL,ORL,2018-04-01,169,-47.4%
2017-18,CHA,PHI,2018-04-01,314,24.1%
2017-18,CHI,WAS,2018-04-01,131,-27.3%
2017-18,CLE,DAL,2018-04-01,100,19.2%
2017-18,GSW,PHX,2018-04-01,2591,5.7%
2017-18,LAC,IND,2018-04-01,8,-55.8%
2017-18,LAL,SAC,2018-04-01,1279,-6.2%
2017-18,NOP,OKC,2018-04-01,791,70.6%
2017-18,POR,MEM,2018-04-01,690,6.8%
2017-18,SAS,HOU,2018-04-01,1092,87.1%
2017-18,BOS,TOR,2018-03-31,1619,225.0%
2017-18,MIA,BRK,2018-03-31,1201,16.6%
2017-18,NYK,DET,2018-03-31,892,-63.7%
2017-18,SAC,GSW,2018-03-31,797,105.4%
2017-18,WAS,CHA,2018-03-31,820,-1.5%
2017-18,ATL,PHI,2018-03-30,310,-2.6%
2017-18,CLE,NOP,2018-03-30,135,99.4%
2017-18,DAL,MIN,2018-03-30,469,7.7%
2017-18,HOU,PHX,2018-03-30,65,30.1%
2017-18,LAL,MIL,2018-03-30,1585,32.0%
2017-18,OKC,DEN,2018-03-30,920,35.5%
2017-18,ORL,CHI,2018-03-30,423,11.7%
2017-18,POR,LAC,2018-03-30,814,38.6%
2017-18,UTA,MEM,2018-03-30,296,58.3%
2017-18,DET,WAS,2018-03-29,1,0.0%
2017-18,GSW,MIL,2018-03-29,2293,35.1%
2017-18,MIA,CHI,2018-03-29,1234,32.5%
2017-18,SAC,IND,2018-03-29,344,-54.7%
2017-18,SAS,OKC,2018-03-29,808,78.5%
2017-18,CHA,CLE,2018-03-28,641,199.8%
2017-18,LAL,DAL,2018-03-28,1473,-0.6%
2017-18,MEM,POR,2018-03-28,232,-35.8%
2017-18,ORL,BRK,2018-03-28,223,-36.2%
2017-18,PHX,LAC,2018-03-28,224,-20.6%
2017-18,UTA,BOS,2018-03-28,296,175.2%
2017-18,GSW,IND,2018-03-27,1897,-7.6%
2017-18,HOU,CHI,2018-03-27,62,2.8%
2017-18,LAC,MIL,2018-03-27,17,-41.8%
2017-18,MIA,CLE,2018-03-27,1607,263.0%
2017-18,NOP,POR,2018-03-27,384,-7.8%
2017-18,SAC,DAL,2018-03-27,917,-94.8%
2017-18,TOR,DEN,2018-03-27,1063,27.0%
2017-18,WAS,SAS,2018-03-27,927,23.5%
2017-18,CHA,NYK,2018-03-26,141,3.2%
2017-18,DET,LAL,2018-03-26,9,-18.8%
2017-18,PHX,BOS,2018-03-26,394,43.2%
2017-18,GSW,UTA,2018-03-25,2479,29.8%
2017-18,HOU,ATL,2018-03-25,41,-3.5%
2017-18,IND,MIA,2018-03-25,298,14.8%
2017-18,MIL,SAS,2018-03-25,24,-24.1%
2017-18,OKC,POR,2018-03-25,956,33.8%
2017-18,SAC,BOS,2018-03-25,785,16.0%
2017-18,TOR,LAC,2018-03-25,1110,61.5%
2017-18,WAS,NYK,2018-03-25,754,-9.9%
2017-18,DAL,CHA,2018-03-24,462,-13.5%
2017-18,DET,CHI,2018-03-24,2,33.4%
2017-18,HOU,NOP,2018-03-24,69,80.3%
2017-18,MEM,LAL,2018-03-24,540,100.1%
2017-18,ORL,PHX,2018-03-24,315,-26.8%
2017-18,CHI,MIL,2018-03-23,146,-21.6%
2017-18,CLE,PHX,2018-03-23,92,58.2%
2017-18,GSW,ATL,2018-03-23,2298,2.8%
2017-18,IND,LAC,2018-03-23,187,2.9%
2017-18,NYK,MIN,2018-03-23,725,-71.2%
2017-18,OKC,MIA,2018-03-23,1205,55.0%
2017-18,POR,BOS,2018-03-23,913,117.7%
2017-18,SAS,UTA,2018-03-23,729,1.4%
2017-18,TOR,BRK,2018-03-23,1086,60.2%
2017-18,WAS,DEN,2018-03-23,694,-23.5%
2017-18,CHA,MEM,2018-03-22,80,-10.0%
2017-18,DAL,UTA,2018-03-22,389,-23.7%
2017-18,HOU,DET,2018-03-22,34,10.6%
2017-18,NOP,LAL,2018-03-22,576,13.4%
2017-18,ORL,PHI,2018-03-22,390,-12.1%
2017-18,SAC,ATL,2018-03-22,752,-100.0%
2017-18,CHI,DEN,2018-03-21,43,-38.9%
2017-18,CLE,TOR,2018-03-21,59,10.4%
2017-18,MIA,NYK,2018-03-21,1204,10.9%
2017-18,MIL,LAC,2018-03-21,14,-56.0%
2017-18,NOP,IND,2018-03-21,131,-55.3%
2017-18,SAS,WAS,2018-03-21,449,-21.3%
2017-18,BOS,OKC,2018-03-20,1534,161.4%
2017-18,NOP,DAL,2018-03-20,160,-36.3%
2017-18,ORL,TOR,2018-03-20,298,-16.5%
2017-18,PHX,DET,2018-03-20,218,-25.4%
2017-18,POR,HOU,2018-03-20,743,62.2%
2017-18,UTA,ATL,2018-03-20,246,13.4%
2017-18,CLE,MIL,2018-03-19,65,9.5%
2017-18,IND,LAL,2018-03-19,253,42.1%
2017-18,MIA,DEN,2018-03-19,1071,-15.4%
2017-18,NYK,CHI,2018-03-19,590,-75.3%
2017-18,SAC,DET,2018-03-19,388,-55.8%
2017-18,SAS,GSW,2018-03-19,895,139.1%
2017-18,LAC,POR,2018-03-18,6,-15.4%
2017-18,NOP,BOS,2018-03-18,721,83.7%
2017-18,TOR,OKC,2018-03-18,1208,174.6%
2017-18,CHI,CLE,2018-03-17,401,70.3%
2017-18,MEM,DEN,2018-03-17,308,-14.4%
2017-18,MIL,ATL,2018-03-17,17,-38.6%
2017-18,NOP,HOU,2018-03-17,695,106.6%
2017-18,NYK,CHA,2018-03-17,498,-77.8%
2017-18,PHX,GSW,2018-03-17,518,156.5%
2017-18,POR,DET,2018-03-17,861,28.4%
2017-18,SAS,MIN,2018-03-17,979,35.5%
2017-18,UTA,SAC,2018-03-17,303,58.6%
2017-18,WAS,IND,2018-03-17,838,-3.2%
2017-18,GSW,SAC,2018-03-16,2464,12.2%
2017-18,LAL,MIA,2018-03-16,1702,25.8%
2017-18,OKC,LAC,2018-03-16,963,44.4%
2017-18,ORL,BOS,2018-03-16,552,101.8%
2017-18,TOR,DAL,2018-03-16,1208,72.6%
2017-18,ATL,CHA,2018-03-15,159,-50.8%
2017-18,HOU,LAC,2018-03-15,52,61.3%
2017-18,IND,TOR,2018-03-15,239,-6.4%
2017-18,MEM,CHI,2018-03-15,282,-28.7%
2017-18,NYK,PHI,2018-03-15,584,-72.0%
2017-18,POR,CLE,2018-03-15,996,176.5%
2017-18,SAS,NOP,2018-03-15,934,8.1%
2017-18,UTA,PHX,2018-03-15,217,-4.1%
2017-18,BOS,WAS,2018-03-14,1350,71.2%
2017-18,GSW,LAL,2018-03-14,3042,62.5%
2017-18,ORL,MIL,2018-03-14,383,-14.0%
2017-18,SAC,MIA,2018-03-14,492,-49.4%
2017-18,ATL,OKC,2018-03-13,379,44.6%
2017-18,CHI,LAC,2018-03-13,94,-35.5%
2017-18,LAL,DEN,2018-03-13,1399,-15.0%
2017-18,NOP,CHA,2018-03-13,297,-31.6%
2017-18,NYK,DAL,2018-03-13,446,-79.8%
2017-18,PHX,CLE,2018-03-13,519,143.1%
2017-18,SAS,ORL,2018-03-13,762,-8.2%
2017-18,UTA,DET,2018-03-13,199,7.8%
2017-18,WAS,MIN,2018-03-13,681,-10.9%
2017-18,HOU,SAS,2018-03-12,114,110.2%
2017-18,MEM,MIL,2018-03-12,259,-24.8%
2017-18,OKC,SAC,2018-03-12,711,-4.9%
2017-18,POR,MIA,2018-03-12,592,-14.2%
2017-18,ATL,CHI,2018-03-11,248,-30.0%
2017-18,BOS,IND,2018-03-11,1544,92.5%
2017-18,DAL,HOU,2018-03-11,564,47.4%
2017-18,LAL,CLE,2018-03-11,1783,187.0%
2017-18,NOP,UTA,2018-03-11,334,-7.2%
2017-18,NYK,TOR,2018-03-11,687,-68.6%
2017-18,CHA,PHX,2018-03-10,318,25.4%
2017-18,DAL,MEM,2018-03-10,489,-7.8%
2017-18,LAC,ORL,2018-03-10,5,-61.8%
2017-18,MIA,WAS,2018-03-10,1308,36.1%
2017-18,OKC,SAS,2018-03-10,1142,115.0%
2017-18,DET,CHI,2018-03-09,2,103.3%
2017-18,IND,ATL,2018-03-09,237,-11.4%
2017-18,LAC,CLE,2018-03-09,23,176.0%
2017-18,MEM,UTA,2018-03-09,233,-32.5%
2017-18,MIL,NYK,2018-03-09,18,-50.1%
2017-18,NOP,WAS,2018-03-09,514,25.7%
2017-18,POR,GSW,2018-03-09,954,205.2%
2017-18,SAC,ORL,2018-03-09,464,-47.0%
2017-18,TOR,HOU,2018-03-09,1347,166.6%
2017-18,CHA,BRK,2018-03-08,56,1.4%
2017-18,GSW,SAS,2018-03-08,2426,45.5%
2017-18,MIA,PHI,2018-03-08,1186,7.6%
2017-18,OKC,PHX,2018-03-08,460,-13.1%
2017-18,CHI,MEM,2018-03-07,29,-41.7%
2017-18,DET,TOR,2018-03-07,3,9.8%
2017-18,IND,UTA,2018-03-07,184,-27.8%
2017-18,LAL,ORL,2018-03-07,1013,-27.1%
2017-18,MIL,HOU,2018-03-07,22,-32.4%
2017-18,SAC,NOP,2018-03-07,309,-51.6%
2017-18,CHA,PHI,2018-03-06,189,14.4%
2017-18,DAL,DEN,2018-03-06,193,-37.1%
2017-18,GSW,BRK,2018-03-06,2060,-18.7%
2017-18,LAC,NOP,2018-03-06,4,-51.7%
2017-18,OKC,HOU,2018-03-06,750,58.0%
2017-18,POR,NYK,2018-03-06,335,-16.7%
2017-18,TOR,ATL,2018-03-06,918,0.5%
2017-18,WAS,MIA,2018-03-06,781,-21.0%
2017-18,CHI,BOS,2018-03-05,156,-21.7%
2017-18,CLE,DET,2018-03-05,76,-6.8%
2017-18,IND,MIL,2018-03-05,210,-15.1%
2017-18,LAL,POR,2018-03-05,1288,-17.2%
2017-18,MIA,PHX,2018-03-05,922,-35.5%
2017-18,SAS,MEM,2018-03-05,362,-27.2%
2017-18,UTA,ORL,2018-03-05,171,-8.0%
2017-18,ATL,PHX,2018-03-04,185,-43.3%
2017-18,DAL,NOP,2018-03-04,383,-20.6%
2017-18,LAC,BRK,2018-03-04,7,-52.0%
2017-18,MIL,PHI,2018-03-04,24,-45.9%
2017-18,SAC,NYK,2018-03-04,368,-40.5%
2017-18,TOR,CHA,2018-03-04,981,34.2%
2017-18,WAS,IND,2018-03-04,628,-29.3%
2017-18,CLE,DEN,2018-03-03,132,111.2%
2017-18,HOU,BOS,2018-03-03,135,172.5%
2017-18,MIA,DET,2018-03-03,1079,9.7%
2017-18,ORL,MEM,2018-03-03,264,-29.5%
2017-18,POR,OKC,2018-03-03,885,96.6%
2017-18,SAC,UTA,2018-03-03,635,-39.9%
2017-18,SAS,LAL,2018-03-03,1173,101.8%
2017-18,ATL,GSW,2018-03-02,623,258.3%
2017-18,CHI,DAL,2018-03-02,101,-33.9%
2017-18,LAC,NYK,2018-03-02,8,-19.0%
2017-18,MEM,DEN,2018-03-02,247,-29.3%
2017-18,MIL,IND,2018-03-02,13,-40.4%
2017-18,ORL,DET,2018-03-02,252,-23.0%
2017-18,PHX,OKC,2018-03-02,282,34.1%
2017-18,UTA,MIN,2018-03-02,266,71.0%
2017-18,WAS,TOR,2018-03-02,876,16.7%
2017-18,CLE,PHI,2018-03-01,68,24.5%
2017-18,MIA,LAL,2018-03-01,1267,55.6%
2017-18,POR,MIN,2018-03-01,538,-9.1%
2017-18,SAC,BRK,2018-03-01,319,-60.2%
2017-18,ATL,IND,2018-02-28,107,-55.9%
2017-18,BOS,CHA,2018-02-28,1207,32.4%
2017-18,DAL,OKC,2018-02-28,451,24.0%
2017-18,DET,MIL,2018-02-28,3,-65.9%
2017-18,LAC,HOU,2018-02-28,12,30.5%
2017-18,MEM,PHX,2018-02-28,141,-56.7%
2017-18,ORL,TOR,2018-02-28,285,-15.4%
2017-18,SAS,NOP,2018-02-28,525,-19.3%
2017-18,WAS,GSW,2018-02-28,1052,276.4%
2017-18,CHA,CHI,2018-02-27,119,7.4%
2017-18,CLE,BRK,2018-02-27,45,-20.7%
2017-18,MIA,PHI,2018-02-27,974,-2.8%
2017-18,MIL,WAS,2018-02-27,11,-54.8%
2017-18,POR,SAC,2018-02-27,441,-28.5%
2017-18,ATL,LAL,2018-02-26,282,6.1%
2017-18,BOS,MEM,2018-02-26,1085,24.7%
2017-18,DAL,IND,2018-02-26,258,-30.7%
2017-18,NOP,PHX,2018-02-26,193,-41.6%
2017-18,NYK,GSW,2018-02-26,770,-26.5%
2017-18,OKC,ORL,2018-02-26,525,-12.2%
2017-18,SAC,MIN,2018-02-26,323,-47.9%
2017-18,TOR,DET,2018-02-26,1104,16.1%
2017-18,UTA,HOU,2018-02-26,273,74.5%
2017-18,CHA,DET,2018-02-25,163,23.7%
2017-18,CLE,SAS,2018-02-25,148,103.3%
2017-18,MIL,NOP,2018-02-25,26,-39.3%
2017-18,WAS,PHI,2018-02-25,784,15.8%
2017-18,GSW,OKC,2018-02-24,3114,145.3%
2017-18,MIA,MEM,2018-02-24,1335,17.1%
2017-18,NYK,BOS,2018-02-24,892,-40.3%
2017-18,PHX,POR,2018-02-24,238,-14.6%
2017-18,SAC,LAL,2018-02-24,941,58.3%
2017-18,UTA,DAL,2018-02-24,243,47.7%
2017-18,DEN,SAS,2018-02-23,1,88.7%
2017-18,DET,BOS,2018-02-23,5,70.1%
2017-18,HOU,MIN,2018-02-23,59,36.0%
2017-18,IND,ATL,2018-02-23,210,-7.3%
2017-18,LAL,DAL,2018-02-23,1701,22.9%
2017-18,MEM,CLE,2018-02-23,716,265.1%
2017-18,NOP,MIA,2018-02-23,466,9.5%
2017-18,PHX,LAC,2018-02-23,216,-21.8%
2017-18,TOR,MIL,2018-02-23,1214,99.3%
2017-18,UTA,POR,2018-02-23,279,79.0%
2017-18,WAS,CHA,2018-02-23,715,-12.9%
2017-18,CHA,BRK,2018-02-22,63,-12.1%
2017-18,CHI,PHI,2018-02-22,94,-30.2%
2017-18,CLE,WAS,2018-02-22,113,19.6%
2017-18,GSW,LAC,2018-02-22,2579,11.6%
2017-18,ORL,NYK,2018-02-22,399,17.6%
2017-18,SAC,OKC,2018-02-22,683,-16.0%
2017-18,MIL,DEN,2018-02-15,16,-58.8%
2017-18,BOS,LAC,2018-02-14,1347,53.7%
2017-18,CHI,TOR,2018-02-14,45,-12.5%
2017-18,DET,ATL,2018-02-14,9,-52.6%
2017-18,HOU,SAC,2018-02-14,62,-9.0%
2017-18,MEM,OKC,2018-02-14,407,37.7%
2017-18,NOP,LAL,2018-02-14,592,30.6%
2017-18,NYK,WAS,2018-02-14,727,-70.5%
2017-18,ORL,CHA,2018-02-14,395,-20.6%
2017-18,POR,GSW,2018-02-14,954,155.1%
2017-18,UTA,PHX,2018-02-14,288,29.3%
2017-18,DAL,SAC,2018-02-13,290,-33.3%
2017-18,DEN,SAS,2018-02-13,1,54.9%
2017-18,MIL,ATL,2018-02-13,10,-55.4%
2017-18,OKC,CLE,2018-02-13,1065,144.5%
2017-18,TOR,MIA,2018-02-13,1153,37.7%
2017-18,CHI,ORL,2018-02-12,11,-2.1%
2017-18,DET,NOP,2018-02-12,3,-42.7%
2017-18,GSW,PHX,2018-02-12,2126,-9.4%
2017-18,UTA,SAS,2018-02-12,240,43.6%
2017-18,ATL,DET,2018-02-11,221,-31.7%
2017-18,BOS,CLE,2018-02-11,1413,633.4%
2017-18,CHA,TOR,2018-02-11,248,20.1%
2017-18,HOU,DAL,2018-02-11,81,22.2%
2017-18,IND,NYK,2018-02-11,256,8.7%
2017-18,OKC,MEM,2018-02-11,651,7.0%
2017-18,POR,UTA,2018-02-11,632,-1.0%
2017-18,CHI,WAS,2018-02-10,58,-12.5%
2017-18,DAL,LAL,2018-02-10,585,56.8%
2017-18,GSW,SAS,2018-02-10,2777,98.7%
2017-18,ORL,MIL,2018-02-10,438,3.7%
2017-18,PHX,DEN,2018-02-10,186,-19.3%
2017-18,ATL,CLE,2018-02-09,469,126.9%
2017-18,BOS,IND,2018-02-09,1368,91.0%
2017-18,CHI,MIN,2018-02-09,150,6.4%
2017-18,DET,LAC,2018-02-09,5,30.7%
2017-18,HOU,DEN,2018-02-09,55,-3.8%
2017-18,MIA,MIL,2018-02-09,1365,66.3%
2017-18,SAC,POR,2018-02-09,553,-31.8%
2017-18,UTA,CHA,2018-02-09,204,21.1%
2017-18,GSW,DAL,2018-02-08,2035,-7.2%
2017-18,LAL,OKC,2018-02-08,1574,45.4%
2017-18,ORL,ATL,2018-02-08,178,-42.4%
2017-18,POR,CHA,2018-02-08,313,-28.5%
2017-18,TOR,NYK,2018-02-08,795,23.2%
2017-18,WAS,BOS,2018-02-08,1065,98.7%
2017-18,CLE,MIN,2018-02-07,53,-2.8%
2017-18,DET,BRK,2018-02-07,3,-23.7%
2017-18,MEM,UTA,2018-02-07,121,-62.5%
2017-18,MIA,HOU,2018-02-07,1055,33.6%
2017-18,PHX,SAS,2018-02-07,206,-16.1%
2017-18,ATL,MEM,2018-02-06,99,-62.1%
2017-18,GSW,OKC,2018-02-06,2653,76.8%
2017-18,LAL,PHX,2018-02-06,987,-21.7%
2017-18,NYK,MIL,2018-02-06,626,-69.0%
2017-18,ORL,CLE,2018-02-06,388,161.4%
2017-18,TOR,BOS,2018-02-06,1109,108.1%
2017-18,DET,POR,2018-02-05,4,-59.6%
2017-18,IND,WAS,2018-02-05,190,-28.8%
2017-18,LAC,DAL,2018-02-05,2,-56.7%
2017-18,MIA,ORL,2018-02-05,890,-33.9%
2017-18,NOP,UTA,2018-02-05,126,-44.0%
2017-18,SAC,CHI,2018-02-05,453,-48.3%
2017-18,BOS,POR,2018-02-04,1240,102.0%
2017-18,NYK,ATL,2018-02-04,636,-72.2%
2017-18,OKC,LAL,2018-02-04,811,64.5%
2017-18,PHX,CHA,2018-02-04,98,-34.7%
2017-18,TOR,MEM,2018-02-04,1026,32.7%
2017-18,CLE,HOU,2018-02-03,152,144.0%
2017-18,DET,MIA,2018-02-03,4,-45.7%
2017-18,IND,PHI,2018-02-03,248,37.0%
2017-18,LAC,CHI,2018-02-03,3,-13.4%
2017-18,ORL,WAS,2018-02-03,377,-5.9%
2017-18,SAC,DAL,2018-02-03,623,-37.5%
2017-18,SAS,UTA,2018-02-03,762,5.2%
2017-18,BOS,ATL,2018-02-02,1224,71.1%
2017-18,CHA,IND,2018-02-02,130,10.7%
2017-18,MIL,NYK,2018-02-02,19,-42.1%
2017-18,OKC,NOP,2018-02-02,791,26.4%
2017-18,PHX,UTA,2018-02-02,168,-21.3%
2017-18,SAC,GSW,2018-02-02,973,142.5%
2017-18,TOR,POR,2018-02-02,903,44.4%
2017-18,SAS,HOU,2018-02-01,766,55.9%
2017-18,WAS,TOR,2018-02-01,456,-29.6%
2017-18,ATL,CHA,2018-01-31,115,-57.2%
2017-18,BOS,NYK,2018-01-31,1188,64.0%
2017-18,CLE,MIA,2018-01-31,81,1.9%
2017-18,IND,MEM,2018-01-31,157,-46.7%
2017-18,ORL,LAL,2018-01-31,465,69.6%
2017-18,PHX,DAL,2018-01-31,107,-37.2%
2017-18,POR,CHI,2018-01-31,472,-8.9%
2017-18,DET,CLE,2018-01-30,11,-39.6%
2017-18,HOU,ORL,2018-01-30,35,-36.3%
2017-18,LAC,POR,2018-01-30,11,-40.5%
2017-18,NOP,SAC,2018-01-30,109,-36.9%
2017-18,NYK,BRK,2018-01-30,638,-68.9%
2017-18,SAS,DEN,2018-01-30,314,-34.8%
2017-18,TOR,MIN,2018-01-30,897,38.2%
2017-18,UTA,GSW,2018-01-30,298,240.0%
2017-18,WAS,OKC,2018-01-30,915,91.1%
2017-18,ATL,MIN,2018-01-29,133,-39.5%
2017-18,DAL,MIA,2018-01-29,290,-24.7%
2017-18,IND,CHA,2018-01-29,137,-43.5%
2017-18,MEM,PHX,2018-01-29,108,-54.1%
2017-18,MIL,PHI,2018-01-29,23,-53.8%
2017-18,CHI,MIL,2018-01-28,125,-18.4%
2017-18,CLE,DET,2018-01-28,81,24.7%
2017-18,HOU,PHX,2018-01-28,61,7.8%
2017-18,NOP,LAC,2018-01-28,346,-18.2%
2017-18,OKC,PHI,2018-01-28,872,28.7%
2017-18,SAS,SAC,2018-01-28,389,-19.3%
2017-18,TOR,LAL,2018-01-28,1008,121.2%
2017-18,ATL,WAS,2018-01-27,251,-21.3%
2017-18,DET,OKC,2018-01-27,6,40.6%
2017-18,GSW,BOS,2018-01-27,3107,180.4%
2017-18,IND,ORL,2018-01-27,186,-7.7%
2017-18,MIA,CHA,2018-01-27,1138,2.9%
2017-18,CHA,ATL,2018-01-26,44,30.7%
2017-18,CHI,LAL,2018-01-26,255,4.1%
2017-18,CLE,IND,2018-01-26,79,55.8%
2017-18,DAL,POR,2018-01-26,468,-10.2%
2017-18,MEM,LAC,2018-01-26,189,-17.3%
2017-18,MIL,BRK,2018-01-26,14,-43.8%
2017-18,NOP,HOU,2018-01-26,664,47.7%
2017-18,PHX,NYK,2018-01-26,237,-1.7%
2017-18,SAS,PHI,2018-01-26,765,14.3%
2017-18,TOR,UTA,2018-01-26,1002,64.3%
2017-18,GSW,MIN,2018-01-25,2322,14.7%
2017-18,MIA,SAC,2018-01-25,979,-22.2%
2017-18,OKC,WAS,2018-01-25,443,-5.1%
2017-18,ATL,TOR,2018-01-24,80,-50.3%
2017-18,CHA,NOP,2018-01-24,41,7.5%
2017-18,DAL,HOU,2018-01-24,343,14.9%
2017-18,DET,UTA,2018-01-24,1,-12.3%
2017-18,IND,PHX,2018-01-24,154,-33.9%
2017-18,LAC,BOS,2018-01-24,15,44.7%
2017-18,MEM,SAS,2018-01-24,140,-21.9%
2017-18,POR,MIN,2018-01-24,423,-7.2%
2017-18,GSW,NYK,2018-01-23,2206,6.3%
2017-18,LAL,BOS,2018-01-23,1547,60.1%
2017-18,OKC,BRK,2018-01-23,324,-26.7%
2017-18,ORL,SAC,2018-01-23,365,-7.2%
2017-18,SAS,CLE,2018-01-23,991,131.9%
2017-18,ATL,UTA,2018-01-22,63,-53.6%
2017-18,CHA,SAC,2018-01-22,34,-7.7%
2017-18,DAL,WAS,2018-01-22,217,-27.8%
2017-18,HOU,MIA,2018-01-22,57,-26.4%
2017-18,LAC,MIN,2018-01-22,11,-45.3%
2017-18,MEM,PHI,2018-01-22,134,-33.1%
2017-18,MIL,PHX,2018-01-22,13,-69.5%
2017-18,NOP,CHI,2018-01-22,180,-30.8%
2017-18,BOS,ORL,2018-01-21,1388,103.9%
2017-18,DET,BRK,2018-01-21,4,-27.3%
2017-18,LAL,NYK,2018-01-21,1387,17.2%
2017-18,SAS,IND,2018-01-21,513,-5.1%
2017-18,ATL,CHI,2018-01-20,242,-10.3%
2017-18,CHA,MIA,2018-01-20,223,40.4%
2017-18,CLE,OKC,2018-01-20,134,272.0%
2017-18,HOU,GSW,2018-01-20,134,240.1%
2017-18,NOP,MEM,2018-01-20,392,-5.7%
2017-18,POR,DAL,2018-01-20,717,12.0%
2017-18,UTA,LAC,2018-01-20,240,47.2%
2017-18,DET,WAS,2018-01-19,3,-51.2%
2017-18,LAL,IND,2018-01-19,1092,-16.4%
2017-18,MEM,SAC,2018-01-19,253,2.7%
2017-18,TOR,SAS,2018-01-19,1123,86.3%
2017-18,UTA,NYK,2018-01-19,229,23.4%
2017-18,BOS,PHI,2018-01-18,1288,87.0%
2017-18,CLE,ORL,2018-01-18,63,-2.8%
2017-18,HOU,MIN,2018-01-18,49,-19.2%
2017-18,POR,IND,2018-01-18,337,-25.3%
2017-18,ATL,NOP,2018-01-17,128,-50.3%
2017-18,CHA,WAS,2018-01-17,66,4.1%
2017-18,CHI,GSW,2018-01-17,303,33.9%
2017-18,LAC,DEN,2018-01-17,3,-66.1%
2017-18,MEM,NYK,2018-01-17,123,-39.9%
2017-18,MIL,MIA,2018-01-17,15,-62.9%
2017-18,OKC,LAL,2018-01-17,736,26.7%
2017-18,SAC,UTA,2018-01-17,303,-55.1%
2017-18,TOR,DET,2018-01-17,960,10.9%
2017-18,BOS,NOP,2018-01-16,1096,61.9%
2017-18,ORL,MIN,2018-01-16,333,13.7%
2017-18,POR,PHX,2018-01-16,361,-25.0%
