Season,GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,HOME TV,DUR.1,HH RTG.1,HH SHR.1,HH IMP.1,P2+ IMP.1,NAT TV,CN TV
2017-18,16,Thu,2017-10-19,7:30 PM,10:30 PM,LAC,LAL,,,,,,,,,,,,,TNT,
2017-18,17,Fri,2017-10-20,7:00 PM,7:00 PM,ATL,CHA,FSSE-ATL,150.0,0.8,2.0,19.0,23.0,FSSE-CHA,150.0,0.93,1.7,10.6,19,,
2017-18,18,Fri,2017-10-20,7:00 PM,7:00 PM,POR,IND,NBCSNW,150.0,2,5.0,23.0,30.0,FSIND,150.0,3.1,6,32,,,
2017-18,19,Fri,2017-10-20,7:00 PM,7:00 PM,BOS,PHI,NBCSB,150.0,3.4,6.0,83.0,102.0,NBCSPA,150.0,4.6,8,132,212,,NBAC
2017-18,20,Fri,2017-10-20,7:00 PM,7:00 PM,DET,WAS,FSD+,150.0,1.2,2.0,22.0,25.0,NBCSWA,150.0,1.7,3,42,54,,
2017-18,21,Fri,2017-10-20,6:00 PM,7:00 PM,CLE,MIL,FSO,150.0,6,11.0,87.0,119.0,FSWIS,150.0,1.8,4,16,,ESPN,TSN2
2017-18,22,Fri,2017-10-20,7:30 PM,7:30 PM,ORL,BRK,FSFL,150.0,0.8,1.0,12.0,17.0,YES,150.0,0.2,0,14,16,,
2017-18,23,Fri,2017-10-20,7:00 PM,8:00 PM,UTA,MIN,ATTSN-RM,165.0,4.527272727,10.0,42.72727273,,FSNTH,150.0,3.7,8,64,87,,
2017-18,24,Fri,2017-10-20,7:30 PM,8:30 PM,SAC,DAL,NBCSCA,150.0,0.1,0.0,2.0,2.0,FSSW-DAL,150.0,0.9,2,25,29,,
2017-18,25,Fri,2017-10-20,8:30 PM,9:30 PM,GSW,NOP,NBCSBA,150.0,5.2,11.0,127.0,196.0,FSNO,150.0,0.75,1.4,5,,ESPN,
2017-18,26,Fri,2017-10-20,7:00 PM,10:00 PM,LAL,PHX,SPECSN/D,165.0,2.6,5.0,137.0,206.0,FSA,165.0,1.5,3,29,45,,NBAC
2017-18,27,Sat,2017-10-21,7:30 PM,7:30 PM,PHI,TOR,NBCSPA,150.0,1.4,2.0,39.0,54.0,SN1,,,,,,,SN1
2017-18,28,Sat,2017-10-21,8:00 PM,8:00 PM,ORL,CLE,FSFL,150.0,0.8,1.0,12.0,15.0,FSO,135.0,6.2,10,90,125,,
2017-18,29,Sat,2017-10-21,8:00 PM,8:00 PM,IND,MIA,FSIND,150.0,1.3,2.0,13.0,,FSSUN,150.0,2.3,5,39,51,,
2017-18,30,Sat,2017-10-21,8:00 PM,8:00 PM,DET,NYK,FSD,150.0,0.8,1.0,15.0,20.0,MSG,150.0,0.8,1,57,83,,
2017-18,31,Sat,2017-10-21,7:00 PM,8:00 PM,SAS,CHI,FSSW-SA,150.0,5.9,11.0,55.0,,WGN,150.0,1.5,3,50,66,,
2017-18,32,Sat,2017-10-21,7:00 PM,8:00 PM,DAL,HOU,FSSW-DAL,150.0,0.3,1.0,8.0,11.0,ATTSN-SW,150.0,0.5,1,13,16,,
2017-18,33,Sat,2017-10-21,7:00 PM,8:00 PM,GSW,MEM,NBCSBA,150.0,6.4,16.0,157.0,229.0,FSSE-MEM,150.0,3.3,5,22,,NBA TV,
2017-18,34,Sat,2017-10-21,7:30 PM,8:30 PM,POR,MIL,NBCSNW,150.0,2.7,5.0,32.0,39.0,FSWIS,150.0,2.1,4,18,,,
2017-18,35,Sat,2017-10-21,7:00 PM,9:00 PM,SAC,DEN,NBCSCA,150.0,0.6,1.0,8.0,14.0,ALT,150.0,0.8,2,13,19,,
2017-18,36,Sat,2017-10-21,7:00 PM,9:00 PM,OKC,UTA,FSOK,150.0,6.9,11.0,49.0,,ATTSN-RM,150.0,2.9,6,27,,,
2017-18,37,Sat,2017-10-21,7:30 PM,10:30 PM,PHX,LAC,FSA,150.0,0.6,1.0,11.0,14.0,FSPT,150.0,1.2,2,64,96,NBA TV,NBAC
2017-18,38,Sun,2017-10-22,3:30 PM,3:30 PM,ATL,BRK,FSSE-ATL,150.0,0.4,1.0,10.0,14.0,YES,150.0,0.2,1,16,15,,
2017-18,39,Sun,2017-10-22,6:00 PM,7:00 PM,MIN,OKC,FSNTH,150.0,2.6,5.0,46.0,65.0,FSOK,150.0,8.1,13,57,,,NBAC
2017-18,40,Sun,2017-10-22,6:30 PM,9:30 PM,NOP,LAL,FSNO,150.0,0.8,1.0,5.0,,SPECSN/D,150.0,2.6,5,136,223,,
2017-18,41,Mon,2017-10-23,7:00 PM,7:00 PM,PHI,DET,NBCSPA,150.0,1.5,2.0,43.0,62.0,FSD,150.0,1.29,2,23,26,,
2017-18,42,Mon,2017-10-23,7:30 PM,7:30 PM,ATL,MIA,FSSE-ATL,150.0,0.2,0.0,6.0,8.0,FSSUN,150.0,2.8,5,47,63,,
2017-18,43,Mon,2017-10-23,7:00 PM,8:00 PM,MEM,HOU,FSSE-MEM,165.0,2,3.0,13.0,,ATTSN-SW,165.0,1.5,2,37,46,,
2017-18,44,Mon,2017-10-23,7:00 PM,8:00 PM,CHA,MIL,FSSE-CHA,150.0,1.5,2.0,17.0,22.0,FSWIS,150.0,3,5,26,,,
2017-18,45,Mon,2017-10-23,7:30 PM,8:30 PM,GSW,DAL,NBCSBA,150.0,8.3,18.0,205.0,283.0,FSSW-DAL,150.0,1.4,2,38,57,,
2017-18,46,Mon,2017-10-23,7:30 PM,8:30 PM,TOR,SAS,TSN2,,,,,,FSSW-SA,150.0,8.4,13,78,,NBA TV,TSN2
2017-18,47,Mon,2017-10-23,7:00 PM,9:00 PM,WAS,DEN,NBCSWA,150.0,1.2,2.0,30.0,33.0,ALT,150.0,0.5,1,8,10,,
2017-18,48,Mon,2017-10-23,7:00 PM,10:00 PM,SAC,PHX,NBCSCA,150.0,1.8,3.0,26.0,36.0,FSA,150.0,1.2,2,23,26,,
2017-18,49,Tue,2017-10-24,7:00 PM,7:00 PM,CHI,CLE,NBCSCH,135.0,1.8,3.0,60.0,77.0,FSO,135.0,9.2,14,132,188,NBA TV,TSN
2017-18,50,Tue,2017-10-24,7:00 PM,7:00 PM,BRK,ORL,YES,150.0,0.3,0.0,21.0,26.0,FSFL,165.0,0.9,1,14,22,,NBAC
2017-18,51,Tue,2017-10-24,7:30 PM,7:30 PM,NYK,BOS,MSG,135.0,1.2,2.0,84.0,108.0,NBCSB,150.0,3.8,6,92,125,,
2017-18,52,Tue,2017-10-24,7:00 PM,8:00 PM,IND,MIN,FSIND,135.0,2.8,5.0,29.0,,FSNTH+,135.0,2.7,5,46,71,,
2017-18,53,Tue,2017-10-24,7:00 PM,10:00 PM,NOP,POR,FSNO,165.0,1.6,2.0,10.0,,NBCSNW,165.0,3.3,6,39,60,NBA TV,TSN
2017-18,54,Tue,2017-10-24,7:30 PM,10:30 PM,UTA,LAC,ATTSN-RM,135.0,3.6,7.0,34.0,,FSPT,135.0,1.3,2,70,107,,
2017-18,55,Wed,2017-10-25,7:00 PM,7:00 PM,DEN,CHA,ALT,150.0,0.1,0.0,2.0,2.0,FSSE-CHA,150.0,1.43,2.3,16.3,23,,
2017-18,56,Wed,2017-10-25,7:00 PM,7:00 PM,MIN,DET,FSNTH,135.0,1.3,3.0,22.0,38.0,FSD,135.0,1.16,2,22,34,,
2017-18,57,Wed,2017-10-25,7:00 PM,7:00 PM,HOU,PHI,ATTSN-SW,150.0,0.4,1.0,9.0,12.0,NBCSPA,150.0,4,7,114,155,,NBAC
2017-18,58,Wed,2017-10-25,7:30 PM,7:30 PM,CLE,BRK,FSO,165.0,9.3,14.0,135.0,186.0,YES,165.0,1.3,2,89,125,,SN1
2017-18,59,Wed,2017-10-25,8:00 PM,8:00 PM,SAS,MIA,FSSW-SA,150.0,4.1,7.0,38.0,,FSSUN,150.0,2.5,4,42,54,ESPN,
2017-18,60,Wed,2017-10-25,7:00 PM,8:00 PM,IND,OKC,FSIND,150.0,4.2,7.0,44.0,,FSOK,150.0,10.2,16,72,,,
2017-18,61,Wed,2017-10-25,7:30 PM,8:30 PM,MEM,DAL,FSSE-MEM,150.0,2.6,4.0,17.0,,FSSW-DAL,150.0,1,2,28,29,,
2017-18,62,Wed,2017-10-25,7:00 PM,10:00 PM,UTA,PHX,ATTSN-RM,135.0,3.7,7.0,35.0,,FSA,135.0,0.8,1,14,21,,
2017-18,63,Wed,2017-10-25,7:30 PM,10:30 PM,TOR,GSW,SN1,,,,,,NBCSBA,150.0,9.7,17,237,347,,SN1
2017-18,64,Wed,2017-10-25,7:30 PM,10:30 PM,WAS,LAL,NBCSWA,180.0,1,3.0,26.0,32.0,SPECSN/D,165.0,1,2,54,80,ESPN,
2017-18,65,Thu,2017-10-26,7:00 PM,8:00 PM,ATL,CHI,FSSE-ATL,135.0,0.6,1.0,15.0,15.0,WGN,135.0,3.8,7,126,179,,
2017-18,66,Thu,2017-10-26,7:00 PM,8:00 PM,DAL,MEM,FSSW-DAL,150.0,0.6,1.0,15.0,23.0,FSSE-MEM,150.0,1.8,3,12,,,
2017-18,67,Thu,2017-10-26,7:00 PM,8:00 PM,BOS,MIL,,,,,,,,,,,,,TNT,NBAC
2017-18,68,Thu,2017-10-26,7:00 PM,10:00 PM,LAC,POR,FSPT,165.0,1.3,2.0,67.0,73.0,NBCSNW,150.0,3.3,6,39,54,,
2017-18,69,Thu,2017-10-26,7:30 PM,10:30 PM,NOP,SAC,,,,,,,,,,,,,TNT,TSN2
2017-18,70,Fri,2017-10-27,7:00 PM,7:00 PM,HOU,CHA,ATTSN-SW,150.0,0.4,1.0,10.0,9.0,FSSE-CHA,150.0,1.52,2.7,17.5,23,,
2017-18,71,Fri,2017-10-27,7:00 PM,7:00 PM,SAS,ORL,FSSW-SA,135.0,4.2,8.0,39.0,,FSFL,150.0,1.5,3,23,33,,
2017-18,72,Fri,2017-10-27,7:30 PM,7:30 PM,DEN,ATL,ALT2,150.0,1.333333333,2.666666667,21.16666667,34.0,FSSE-ATL,150.0,0.7,1,17,21,,
2017-18,73,Fri,2017-10-27,7:30 PM,7:30 PM,BRK,NYK,YES,135.0,0.4,1.0,25.0,37.0,MSG,150.0,1.1,2,76,85,,SN1
2017-18,74,Fri,2017-10-27,7:00 PM,8:00 PM,OKC,MIN,FSOK,165.0,9.290909091,15.09090909,65.81818182,,FSNTH,165.0,3,6,52,75,NBA TV,NBAC
2017-18,75,Fri,2017-10-27,7:30 PM,10:30 PM,WAS,GSW,NBCSWA,165.0,3.2,8.0,80.0,110.0,NBCSBA,150.0,9.3,18,228,349,NBA TV,
2017-18,76,Fri,2017-10-27,7:30 PM,10:30 PM,TOR,LAL,SN1,,,,,,SPECSN/D,150.0,2.1,4,111,175,,SN1
2017-18,77,Sat,2017-10-28,6:00 PM,7:00 PM,CLE,NOP,FSO,150.0,5.7,9.0,83.0,119.0,FSNO,150.0,1.41,2.1,8.9,,,NBAC
2017-18,78,Sat,2017-10-28,8:00 PM,8:00 PM,BOS,MIA,NBCSB,150.0,2.4,5.0,58.0,73.0,FSSUN,150.0,2.7,5,45,67,,
2017-18,79,Sat,2017-10-28,7:00 PM,8:00 PM,OKC,CHI,FSOK,135.0,3.688888889,5.666666667,26.0,,WGN,135.0,3,6,100,120,,
2017-18,80,Sat,2017-10-28,7:00 PM,8:00 PM,HOU,MEM,ATTSN-SW,120.0,0.4,1.0,9.0,15.0,FSSE-MEM,150.0,1.93,3.1,12.6,,,
2017-18,81,Sat,2017-10-28,7:30 PM,8:30 PM,PHI,DAL,NBCSPA,150.0,2.3,4.0,67.0,92.0,FSSW-DAL,135.0,0.5,1,13,13,,
2017-18,82,Sat,2017-10-28,7:00 PM,9:00 PM,LAL,UTA,SPECSN/D,150.0,0.8,1.0,41.0,71.0,ATTSN-RM,150.0,4.09,8.4,39,,,
2017-18,83,Sat,2017-10-28,7:00 PM,10:00 PM,PHX,POR,FSA,135.0,0.8,2.0,16.0,22.0,NBCSNW,150.0,2.63,5,31,44,,NBAC
2017-18,84,Sat,2017-10-28,7:30 PM,10:30 PM,DET,LAC,FSD,150.0,0.9,2.0,16.0,21.0,FSPT,150.0,0.5,1,25,41,,
2017-18,85,Sun,2017-10-29,3:30 PM,3:30 PM,MIL,ATL,FSWIS,150.0,1.5,3.0,13.0,,FSSE-ATL,135.0,0.5,1,12,14,,NBAC
2017-18,86,Sun,2017-10-29,4:30 PM,4:30 PM,SAS,IND,FSSW-SA,150.0,3.6,6.0,33.0,,FSIND,150.0,2.5,4,25,,,
2017-18,87,Sun,2017-10-29,6:00 PM,6:00 PM,DEN,BRK,ALT,150.0,0.41,1.0,6.0,6.0,YES,135.0,0.4,1,28,42,,
2017-18,88,Sun,2017-10-29,6:00 PM,6:00 PM,ORL,CHA,FSFL,150.0,1.2,2.0,19.0,39.0,FSSE-CHA,150.0,0.84,1.2,9.6,16,,
2017-18,89,Sun,2017-10-29,3:00 PM,6:00 PM,WAS,SAC,NBCSWA,135.0,0.7,1.0,17.0,27.0,NBCSCA,150.0,0.5,1,7,12,,
2017-18,90,Sun,2017-10-29,7:00 PM,7:00 PM,NYK,CLE,MSG,150.0,1.6,2.0,113.0,164.0,FSO,150.0,6.1,9,89,123,,NBAC
2017-18,91,Sun,2017-10-29,5:30 PM,8:30 PM,DET,GSW,FSD,150.0,0.5,1.0,9.0,12.0,NBCSBA,150.0,7.7,15,190,270,,TSN2
2017-18,92,Mon,2017-10-30,7:30 PM,7:30 PM,SAS,BOS,FSSW-SA,135.0,5.9,10.0,54.0,,NBCSB,150.0,,,,,NBA TV,SN1
2017-18,93,Mon,2017-10-30,7:30 PM,7:30 PM,MIN,MIA,FSNTH,180.0,2.8,5.0,49.0,69.0,FSSUN,180.0,2.8,5,47,60,,NBAC
2017-18,94,Mon,2017-10-30,7:30 PM,7:30 PM,DEN,NYK,ALT,150.0,0.2,0.0,3.0,4.0,MSG,165.0,2.2,3,153,199,,
2017-18,95,Mon,2017-10-30,7:00 PM,8:00 PM,PHI,HOU,NBCSPA+,165.0,2.4,4.0,69.0,86.0,ATTSN-SW,150.0,1,2,24,31,,
2017-18,96,Mon,2017-10-30,7:00 PM,8:00 PM,CHA,MEM,FSSE-CHA,150.0,0.84,1.333333333,9.6,12.7,FSSE-MEM,150.0,2.54,3.5,16.3,,,
2017-18,97,Mon,2017-10-30,7:00 PM,8:00 PM,ORL,NOP,FSFL,150.0,0.9,1.0,14.0,18.0,FSNO,150.0,0.82,1.1,5.3,,,
2017-18,98,Mon,2017-10-30,7:00 PM,9:00 PM,DAL,UTA,FSSW-DAL,135.0,0.3,1.0,9.0,10.0,ATTSN-RM,150.0,3.34,6.1,31.6,,,
2017-18,99,Mon,2017-10-30,7:00 PM,10:00 PM,TOR,POR,TSN,,,,,,NBCSNW,135.0,2.8,5,33,48,,TSN
2017-18,100,Mon,2017-10-30,7:30 PM,10:30 PM,GSW,LAC,NBCSBA,150.0,9.3,16.0,228.0,336.0,FSPT,150.0,2.3,4,124,168,NBA TV,
2017-18,101,Tue,2017-10-31,7:00 PM,7:00 PM,SAC,IND,NBCSCA,135.0,0.9,2.0,13.0,15.0,FSIND,135.0,2.7,4,27,,,
2017-18,102,Tue,2017-10-31,7:30 PM,7:30 PM,PHX,BRK,FSA+,150.0,0.4,1.0,7.0,9.0,YES,150.0,0.5,1,38,44,,
2017-18,103,Tue,2017-10-31,7:00 PM,8:00 PM,OKC,MIL,FSOK,150.0,6.9,11.0,49.0,,FSWIS,150.0,2.1,3,18,,NBA TV,TSN2
2017-18,104,Tue,2017-10-31,7:30 PM,10:30 PM,DET,LAL,FSD,105.0,0.63,1.0,11.0,15.0,SPECSN/D,120.0,1.5,2,80,137,NBA TV,TSN2
2017-18,105,Wed,2017-11-01,7:00 PM,7:00 PM,MIL,CHA,FSWIS,150.0,1.6,3.0,14.0,,FSSE-CHA,150.0,1.38,2.1,15.5,20,,
2017-18,106,Wed,2017-11-01,7:00 PM,7:00 PM,IND,CLE,FSIND,150.0,4.5,7.0,47.0,,FSO,150.0,7.1,11,102,141,,
2017-18,107,Wed,2017-11-01,7:00 PM,7:00 PM,ATL,PHI,FSSE-ATL,150.0,0.8,1.0,19.0,19.0,NBCSPA,150.0,3.1,5,88,119,,
2017-18,108,Wed,2017-11-01,7:00 PM,7:00 PM,PHX,WAS,FSA,150.0,0.4,1.0,7.0,9.0,NBCSWA,150.0,1.4,2,36,46,,NBAC
2017-18,109,Wed,2017-11-01,7:30 PM,7:30 PM,SAC,BOS,NBCSCA,135.0,0.6,1.0,8.0,11.0,NBCSB,135.0,2.9,5,71,100,,
2017-18,110,Wed,2017-11-01,7:30 PM,7:30 PM,CHI,MIA,NBCSCH,150.0,1.2,2.0,39.0,53.0,FSSUN,150.0,2.4,4,40,58,,
2017-18,111,Wed,2017-11-01,8:00 PM,8:00 PM,HOU,NYK,ATTSN-SW,150.0,0.2,0.0,5.0,7.0,,,,,,,ESPN,
2017-18,112,Wed,2017-11-01,7:00 PM,8:00 PM,ORL,MEM,FSFL,150.0,0.9,1.0,14.0,20.0,FSSE-MEM,150.0,1.98,2.7,13.2,,,
2017-18,113,Wed,2017-11-01,7:00 PM,8:00 PM,MIN,NOP,FSNTH,150.0,2.4,4.0,42.0,55.0,FSNO,150.0,1.53,2.2,9.7,,,
2017-18,114,Wed,2017-11-01,7:00 PM,9:00 PM,TOR,DEN,TSN,,,,,,ALT,150.0,0.2,0,3,3,,TSN
2017-18,115,Wed,2017-11-01,7:00 PM,9:00 PM,POR,UTA,NBCSNW,180.0,2.7,4.0,31.0,43.0,ATTSN-RM,180.0,4.125,7,39.25,,,
2017-18,116,Wed,2017-11-01,7:30 PM,10:30 PM,DAL,LAC,FSSW-DAL,150.0,0.1,0.0,2.0,3.0,FSPT,150.0,0.3,0,17,23,ESPN,
2017-18,117,Thu,2017-11-02,7:00 PM,8:00 PM,GSW,SAS,NBCSBA,150.0,7.3,17.0,180.0,251.0,,,,,,,TNT,SN1
2017-18,118,Thu,2017-11-02,7:30 PM,10:30 PM,LAL,POR,,,,,,,,,,,,,TNT,SN1
2017-18,119,Fri,2017-11-03,7:00 PM,7:00 PM,MIL,DET,FSWIS,150.0,1.3,3.0,12.0,,FSD,150.0,2,4,35,38,,
2017-18,120,Fri,2017-11-03,7:00 PM,7:00 PM,CHI,ORL,WGN,135.0,3,6.0,98.0,134.0,FSFL,135.0,0.8,1,12,16,,
2017-18,121,Fri,2017-11-03,7:00 PM,7:00 PM,IND,PHI,FSIND,150.0,4.3,7.0,44.0,,NBCSPA,150.0,2.7,5,77,98,,
2017-18,122,Fri,2017-11-03,7:00 PM,7:00 PM,CLE,WAS,FSO,165.0,6.4,11.0,92.0,123.0,,,,,,,ESPN,NBAC
2017-18,123,Fri,2017-11-03,7:30 PM,7:30 PM,HOU,ATL,ATTSN-SW,135.0,1,2.0,24.0,29.0,FSSE-ATL,135.0,0.5,1,12,14,,
2017-18,124,Fri,2017-11-03,7:30 PM,7:30 PM,PHX,NYK,FSA,150.0,0.7,2.0,14.0,18.0,MSG,150.0,1.8,3,128,151,,
2017-18,125,Fri,2017-11-03,7:30 PM,8:30 PM,NOP,DAL,FSNO,150.0,0.990909091,2.0,6.3636363639999995,,FSSW-DAL,165.0,0.4,1,9,10,,
2017-18,126,Fri,2017-11-03,7:30 PM,8:30 PM,CHA,SAS,FSSE-CHA,150.0,0.93,1.6,10.5,14.0,FSSW-SA,150.0,6.4,12,59,,,
2017-18,127,Fri,2017-11-03,7:00 PM,9:00 PM,MIA,DEN,FSSUN,150.0,2.4,4.0,40.0,50.0,ALT,150.0,0.6,1,9,11,,
2017-18,128,Fri,2017-11-03,7:00 PM,9:00 PM,TOR,UTA,SN1,,,,,,ATTSN-RM,150.0,4.57,9.3,43.3,,,SN1
2017-18,129,Fri,2017-11-03,8:30 PM,9:30 PM,BOS,OKC,NBCSB,165.0,2.7,6.0,66.0,86.0,FSOK,150.0,5.13,8.7,36.2,,ESPN,
2017-18,130,Fri,2017-11-03,7:30 PM,10:30 PM,BRK,LAL,YES,150.0,0.3,1.0,23.0,34.0,SPECSN/D,150.0,2.4,4,126,211,,
2017-18,131,Sat,2017-11-04,12:30 PM,3:30 PM,MEM,LAC,FSSE-MEM,150.0,1.65,2.7,10.7,,FSPT,150.0,0.4,1,22,30,,TSN
2017-18,132,Sat,2017-11-04,7:00 PM,7:00 PM,SAC,DET,NBCSCA,135.0,0.6,1.0,9.0,18.0,FSD,135.0,1.1,2,19,23,,
2017-18,133,Sat,2017-11-04,7:00 PM,8:00 PM,NOP,CHI,FSNO,135.0,1.211111111,1.7777777780000001,7.8888888889999995,,NBCSCH,150.0,1.9,4,63,75,,
2017-18,134,Sat,2017-11-04,7:00 PM,8:00 PM,DAL,MIN,FSSW-DAL,135.0,0.1,0.0,3.0,3.0,FSNTH+,135.0,1.7,3,29,47,,NBAC
2017-18,135,Sat,2017-11-04,7:00 PM,9:00 PM,GSW,DEN,NBCSBA,135.0,9.4,21.0,231.0,325.0,ALT,135.0,0.6,1,9,12,,SN1
2017-18,136,Sun,2017-11-05,3:00 PM,3:00 PM,ATL,CLE,FSSE-ATL,165.0,0.9,2.0,22.0,29.0,FSO,165.0,5.8,10,84,117,,NBAC
2017-18,137,Sun,2017-11-05,12:30 PM,3:30 PM,MIA,LAC,FSSUN,150.0,1.6,3.0,26.0,31.0,FSPT,165.0,0.4,1,20,30,,
2017-18,138,Sun,2017-11-05,6:00 PM,6:00 PM,BOS,ORL,NBCSB,135.0,3.8,6.0,93.0,140.0,FSFL,150.0,0.6,1,9,13,,
2017-18,139,Sun,2017-11-05,6:00 PM,6:00 PM,WAS,TOR,NBCSWA,150.0,0.6,1.0,14.0,20.0,TSN2,,,,,,,TSN2
2017-18,140,Sun,2017-11-05,6:00 PM,7:00 PM,UTA,HOU,ATTSN-RM,150.0,2.28,4.2,21.7,,ATTSN-SW,135.0,1,2,24,39,,
2017-18,141,Sun,2017-11-05,6:00 PM,7:00 PM,PHX,SAS,FSA,135.0,0.6,1.0,11.0,18.0,FSSW-SA,135.0,5.5,9,51,,,
2017-18,142,Sun,2017-11-05,7:30 PM,7:30 PM,IND,NYK,FSIND,150.0,3.8,6.0,39.0,,MSG,150.0,1.8,3,125,160,,
2017-18,143,Sun,2017-11-05,7:00 PM,8:00 PM,CHA,MIN,FSSE-CHA,135.0,0.64,1.0,7.3,9.0,FSNTH,135.0,3.4,6,59,90,,
2017-18,144,Sun,2017-11-05,6:00 PM,9:00 PM,OKC,POR,FSOK,165.0,5.790909091,9.090909091,40.81818182,,NBCSNW,165.0,3.1,5,37,59,,NBAC
2017-18,145,Sun,2017-11-05,6:30 PM,9:30 PM,MEM,LAL,FSSE-MEM,150.0,2.13,3.0,13.7,,SPECSN/D,150.0,2.1,4,112,174,,
2017-18,146,Mon,2017-11-06,7:30 PM,7:30 PM,BOS,ATL,NBCSB,150.0,4.4,7.0,106.0,150.0,FSSE-ATL,150.0,0.9,1,21,29,,TSN2
2017-18,147,Mon,2017-11-06,7:00 PM,9:00 PM,BRK,PHX,YES,165.0,0.4,1.0,31.0,42.0,FSA+,150.0,0.3,0,6,6,NBA TV,
2017-18,148,Mon,2017-11-06,7:30 PM,10:30 PM,MIA,GSW,FSSUN,150.0,2,6.0,34.0,41.0,NBCSBA,150.0,10.3,19,252,351,,TSN2
2017-18,149,Tue,2017-11-07,7:00 PM,7:00 PM,MIL,CLE,FSWIS,150.0,2.3,4.0,20.0,,FSO,150.0,8.7,13,126,161,NBA TV,
2017-18,150,Tue,2017-11-07,7:00 PM,7:00 PM,NOP,IND,FSNO,150.0,1.3,2.0,8.0,,FSIND,150.0,4.3,7,44,,,
2017-18,151,Tue,2017-11-07,7:00 PM,7:00 PM,DAL,WAS,FSSW-DAL,135.0,0.9,2.0,25.0,35.0,NBCSWA,150.0,1.9,3,46,70,,
2017-18,152,Tue,2017-11-07,7:30 PM,7:30 PM,CHA,NYK,FSSE-CHA,135.0,1.7,3.0,20.0,24.0,MSG,150.0,3,5,210,281,,
2017-18,153,Tue,2017-11-07,7:30 PM,7:30 PM,CHI,TOR,WGN,150.0,3.3,6.0,108.0,143.0,TSN,,,,,,,TSN
2017-18,154,Tue,2017-11-07,7:30 PM,8:30 PM,LAC,SAS,FSPT,150.0,0.5,1.0,29.0,37.0,FSSW-SA,150.0,7,11,64,,,
2017-18,155,Tue,2017-11-07,7:00 PM,9:00 PM,BRK,DEN,YES,135.0,0.1,0.0,8.0,12.0,ALT,135.0,0.7,1,11,12,,
2017-18,156,Tue,2017-11-07,7:00 PM,9:00 PM,PHI,UTA,NBCSPA,165.0,3.1,5.0,90.0,120.0,ATTSN-RM,165.0,4.918181818,8.909090909,46.54545455,,,
2017-18,157,Tue,2017-11-07,7:00 PM,10:00 PM,MEM,POR,FSSE-MEM,150.0,2.8,4.0,18.0,,NBCSNW,150.0,3.5,6,42,59,,NBAC
